district,social_infrastructure_target_no,amt,achievemen_t_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achievem_ent_no,amt,achv_pct_amt,others_target_no,amt,achievement_no,amt,total_priority_sector_target_no,amt,achievement_no,amt,achv_pct_amt
Bokaro,72,472,,,0.00,68,363,1,0.25,0.07,30108,14210,4582.00,2575,132820,284175,26844.00,142514,50.15
Chatra,,,,,,,,,,,6397,2992,699.00,356,83758,64751,12800.00,17989,27.78
Deoghar,36,108,,,0.00,68,682,1,1.00,0.15,53739,32241,3585.00,1675,158289,225038,21922.00,66667,29.62
Dhanbad,72,536,5.00,31,5.71,,,,,,46543,27516,9264.00,4897,153568,461098,33291.00,236112,51.21
Dumka,36,26,1.00,5,19.37,683,836,7,8.87,1.06,17917,10265,2351.00,1177,97179,119654,15546.00,31079,25.97
East Singhbhum,84,764,5.00,29,3.84,,,,,,55612,31253,9304.00,4917,206909,717203,41640.00,368594,51.39
Garhwa,12,6,2.00,3,55.00,,,,,,16856,8990,1628.00,805,86623,98638,14243.00,20012,20.29
Giridih,72,630,,,0.00,,,,,,26642,14562,5010.00,2683,158668,179305,27844.00,65351,36.45
Godda,,,1.00,1,,136,190,,,0.00,21015,9797,1533.00,891,97040,103941,14756.00,23787,22.89
Gumla,,,,,,,,,,,5110,2365,677.00,353,57801,57325,7129.00,15346,26.77
Hazaribagh,36,30,,,0.00,,,,,,27149,13638,2912.00,1646,159852,221968,28749.00,84025,37.85
Jamtara,,,,,,,,,,,5409,2851,523.00,208,52086,50355,7318.00,9568,19.00
Khunti,96,216,1.00,0,0.21,,,,,,2935,1653,323.00,124,35117,36944,5516.00,9236,25.00
Koderma,12,64,,,0.00,,,,,,9090,4588,1667.00,885,75412,82892,13512.00,33080,39.91
Latehar,,,,,,,,,,,8127,3500,1354.00,566,38297,43249,7633.00,11207,25.91
Lohardaga,,,,,,,,,,,7132,3061,756.00,366,51421,41606,6357.00,13653,32.82
Pakur,12,8,2.00,2,18.75,,,,,,14643,6314,3370.00,1576,53496,64004,10926.00,19627,30.67
Palamu,84,270,1.00,6,2.22,,,,,,44547,22721,3778.00,2222,145998,166374,22722.00,38104,22.90
Ramgarh,60,426,,,0.00,68,411,1,6.00,1.46,11369,6186,1549.00,918,63184,118987,12784.00,52516,44.14
Ranchi,178,1362,260.00,48,3.50,136,467,1,1.00,0.21,40017,27745,7557.00,4730,1223609,1246781,199316.00,511127,41.00
Sahibganj,12,8,,,0.00,1640,2051,6,7.83,0.38,12362,6570,1989.00,1146,69449,80114,12014.00,16042,20.02
Seraikela-Kharsawan,12,2,,,0.00,,,,,,10888,6295,1797.00,1850,188533,200673,31671.00,121514,60.55
Simdega,,,,,,,,,,,5824,2561,647.00,246,39922,30184,5232.00,7356,24.37
West Singhbhum,12,72,1.00,0,0.56,,,,,,20341,10126,3040.00,1425,107748,103242,16226.00,26688,25.85
