district,total_npa_under_non_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,others_no,amt,total_non_psl_npa_no,amt,[number_in_actual_and_amount_in_lakh]_annexure_10_b_ii_total_npa_psl_npa_+_non_p,amt,total_advances_amt,npa_pct,col_16
Bokaro,5,10.56,49,661.18,17,48.67,10054,6774,10125,7494.10,43860,50774.45,790843.39,6.42,
Chatra,,,5,56.41,,,985,560,990,616.54,25019,16825.64,120692.59,13.94,
Deoghar,9,5.16,11,48.38,10,33.14,2028,1762,2058,1849.05,32046,20286.79,330976.42,6.13,
Dhanbad,4,1.68,80,843.56,22,62.26,10213,10407,10319,11314.06,56174,53300.07,1267175.17,4.21,
Dumka,18,10.00,1,13.38,,,1184,913,1203,936.28,29571,14014.05,184984.94,7.58,
East Singhbhum,4,6.49,158,2485.83,56,221.87,10977,21739,11195,24452.86,49165,93195.20,1883969.04,4.95,
Garhwa,6,3.06,1,27.83,2,8.42,719,464,728,503.03,15930,9509.70,143156.22,6.64,
Giridih,,,19,82.54,18,41.86,3113,1823,3150,1946.98,49924,29136.76,369420.40,7.89,
Godda,6,2.88,1,,4,11.64,1101,905,1112,919.59,22845,13426.61,169863.76,7.90,
Gumla,,,3,47.24,13,32.31,800,514,816,593.48,30814,15733.58,108359.42,14.52,
Hazaribagh,1,0.59,64,559.27,20,74.25,4604,3953,4689,4586.77,51232,44807.43,514785.85,8.70,
Jamtara,8,2.77,2,8.12,2,5.26,668,737,680,752.90,12084,6149.07,84720.28,7.26,
Khunti,,,3,9.70,,,365,484,368,493.24,11126,6774.18,85116.32,7.96,
Koderma,5,1.07,10,184.89,6,14.92,2234,1051,2255,1251.42,28154,18464.38,165127.50,11.18,
Latehar,2,0.66,3,11.95,5,5.70,452,383,462,401.05,9789,5053.00,94928.31,5.32,
Lohardaga,,,2,26.70,2,4.21,737,656,741,687.19,18902,13432.57,86967.56,15.45,
Pakur,3,2.27,1,0.26,2,5.85,1598,711,1604,718.92,17710,7980.98,117722.28,6.78,
Palamu,18,6.37,4,53.51,4,10.31,2011,1843,2037,1912.92,29174,21360.93,304611.53,7.01,
Ramgarh,,,12,133.32,4,6.52,2740,3812,2756,3951.85,21713,21738.83,344095.04,6.32,
Ranchi,44,1080.04,193,3377.19,47,198.76,17642,69715,17926,74370.59,76916,213385.77,3410088.25,6.26,
Sahibganj,12,8.68,9,2.79,1,5.35,1098,1083,1120,1100.00,19089,12001.64,128379.03,9.35,
Seraikela-Kharsawan,1,0.15,17,154.05,8,43.77,5633,1702,5659,1899.72,27109,20765.74,371739.57,5.59,
Simdega,1,0.12,,,1,4.06,729,372,731,376.20,17292,8221.75,53927.49,15.25,
West Singhbhum,1,1.07,15,120.17,7,23.83,2794,1742,2817,1887.22,32719,25089.70,332311.41,7.55,
