district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,18,73.41,273,165.05,147,76
Chatra,16,76.92,183,91.92,75,55
Deoghar,18,93.92,414,168.80,81,69
Dhanbad,15,60.18,355,255.33,218,123
Dumka,38,49.18,152,64.06,43,34
East Singhbhum,7,66.84,232,148.85,118,67
Garhwa,10,19.82,109,44.44,62,34
Giridih,10,54.56,262,203.46,187,130
Godda,32,103.09,322,146.98,45,35
Gumla,3,23.39,173,74.22,115,42
Hazaribagh,74,246.90,760,468.99,263,191
Jamtara,8,13.79,73,30.31,24,15
Khunti,11,19.53,265,94.62,170,60
Koderma,23,38.84,189,79.01,139,121
Latehar,45,227.66,407,233.58,77,29
Lohardaga,14,66.93,603,253.65,462,337
Pakur,22,240.06,337,316.84,21,6
Palamu,41,116.17,211,144.84,27,18
Ramgarh,12,25.73,255,101.66,177,133
Ranchi,89,76.93,974,495.63,353,193
Sahibganj,97,199.25,567,351.58,136,126
Seraikela-Kharsawan,29,62.21,365,289.61,99,43
Simdega,4,29.20,617,109.17,510,325
West Singhbhum,10,22.89,178,111.44,18,17
