district,export_credit_target_no,amt,achievem_ent_no,amt,achv_pct_amt,education_target_no,amt,achievement_no,amt,achv_pct_amt,housing_target_no,amt,achievement_no,amt,achv_pct_amt
Bokaro,99,227,,,0.00,1535,2804,245,311.75,11.12,1237,6533,230,814.51,12.47
Chatra,66,138,,,0.00,75,145,13,21.61,14.90,25,180,6,21.47,11.93
Deoghar,91,236,,,0.00,528,1043,50,94.27,9.04,498,2601,72,117.65,4.52
Dhanbad,109,258,,,0.00,2335,4172,243,311.09,7.46,3671,17392,990,1691.65,9.73
Dumka,72,213,,,0.00,110,175,8,35.62,20.35,192,1449,8,78.75,5.43
East Singhbhum,107,255,,,0.00,2876,7982,517,1137.69,14.25,3509,18490,830,1997.30,10.80
Garhwa,97,240,,,0.00,95,184,14,31.11,16.91,90,592,17,36.29,6.13
Giridih,112,315,,,0.00,360,671,62,78.90,11.76,182,1528,67,146.76,9.60
Godda,69,219,,,0.00,152,283,10,14.96,5.29,236,2226,9,68.30,3.07
Gumla,78,180,,,0.00,165,274,65,67.76,24.73,102,732,13,56.93,7.78
Hazaribagh,116,227,,,0.00,493,1123,70,104.95,9.35,668,3942,78,484.19,12.28
Jamtara,47,144,,,0.00,68,153,8,9.11,5.95,19,264,2,18.49,7.00
Khunti,45,120,,,0.00,69,134,11,14.14,10.55,74,413,10,32.39,7.84
Koderma,48,135,,,0.00,236,393,36,41.97,10.68,249,973,35,122.68,12.61
Latehar,53,174,,,0.00,60,76,4,3.61,4.75,36,232,10,81.81,35.26
Lohardaga,46,101,,,0.00,72,123,10,17.11,13.91,61,387,11,29.10,7.52
Pakur,46,143,,,0.00,52,48,3,3.64,7.59,49,405,3,24.50,6.05
Palamu,106,180,,,0.00,282,572,28,57.86,10.12,195,1403,34,191.98,13.68
Ramgarh,78,212,,,0.00,396,780,57,85.56,10.97,293,2432,55,270.84,11.14
Ranchi,187,491,,,0.00,4562,12101,639,1085.89,8.97,3767,31389,926,5133.10,16.35
Sahibganj,69,219,,,0.00,131,206,10,10.21,4.96,123,884,4,32.66,3.69
Seraikela-Kharsawan,81,206,,,0.00,804,1092,68,77.99,7.14,563,3000,113,271.74,9.06
Simdega,58,105,,,0.00,44,53,5,4.33,8.18,34,196,7,23.69,12.09
West Singhbhum,121,266,,,0.00,469,913,103,148.57,16.27,229,2357,42,340.39,14.44
