district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastria_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1813,3032.64,30510,25577.44,1097,888.01,369,1324.77,1,0.29,159,655.66,33949,31478.81,
Chatra,2214,1997.05,6388,5706.78,3,6.57,60,135.15,3,12.02,21,112.42,8689,7970.00,
Deoghar,5056,3598.81,29409,13656.56,120,176.54,351,293.62,4,6.71,17,50.12,34957,17782.35,
Dhanbad,1852,3509.64,171640,50605.22,1479,701.11,1790,3368.12,,,72,283.89,176833,58467.98,
Dumka,5530,5293.97,10634,7830.77,41,57.15,45,74.90,3,11.20,6,3.14,16259,13271.14,
East Singhbhum,5095,8612.91,70848,43329.70,1479,1380.73,6027,17563.89,17,11.39,127,529.94,83593,71428.57,
Garhwa,5722,5468.77,10399,6186.31,16,7.26,21,56.65,,,20,9.37,16178,11728.37,
Giridih,2979,2548.56,36977,25434.74,55,74.73,113,1614.38,1,0.57,87,259.48,40212,29932.45,
Godda,3765,3183.17,14208,12604.18,46,30.60,85,51.85,,,11,6.78,18115,15876.59,
Gumla,6949,6688.55,6689,4826.62,5,6.91,69,89.27,1,0.20,3,10.84,13716,11622.38,
Hazaribagh,3479,4381.27,59142,29805.83,351,323.70,264,1356.83,25,7.26,160,525.83,63421,36400.72,
Jamtara,3238,2085.76,10320,6453.12,8,2.47,22,74.90,,,9,16.59,13597,8632.84,
Khunti,4823,5064.29,2240,2231.21,74,41.36,78,141.19,3,6.08,18,108.15,7236,7592.28,
Koderma,546,891.17,32718,8317.17,13,14.17,112,706.36,1,0.44,59,212.70,33449,10142.00,
Latehar,2905,4144.66,4952,4142.73,13,20.17,13,31.20,,,12,15.35,7895,8354.11,
Lohardaga,1538,2234.73,13461,9428.70,4,10.29,20,15.98,1,9.07,17,11.83,15041,11710.60,
Pakur,2579,2568.13,36959,23243.25,1,0.23,47,206.89,2,4.12,7,5.54,39595,26028.16,
Palamu,8610,8385.98,16250,11333.48,13,18.16,58,311.75,2,2.41,43,115.25,24976,20167.05,
Ramgarh,966,2058.08,12501,14188.20,127,145.32,437,1632.60,,,47,294.26,14078,18318.46,
Ranchi,32542,46842.21,359837,138342.03,1005,1471.66,1084,7567.60,6,31.46,287,2857.79,394761,197112.74,
Sahibganj,3415,3337.93,18157,14565.95,71,226.47,98,85.74,1,0.63,15,15.64,21757,18232.35,
Seraikela-Kharsawan,2594,2365.08,21347,8305.16,102,195.92,256,625.19,3,121.99,16,7.13,24318,11620.47,
Simdega,9851,8774.46,2195,1847.20,5,8.71,30,26.76,1,0.85,15,27.58,12097,10685.55,
West Singhbhum,6260,5908.90,8017,8224.80,216,468.32,560,1947.07,15,35.48,76,107.36,15144,16691.93,
