district,grand_total_of_laf,returned_by_bank,picked_up_status_pending_for_sanction,total_sanctioned,pct_total_sanctioned_vs_total_application_laf,total_sanctioned_but_pending_for_disbursement,total_disbursement,pct_total_disbursement_vs_total_sanction,applications_already_closed
Bokaro,3137,1004,30,2103,67.04,46,2057,97.81,1050
Chatra,1437,596,18,823,57.27,7,816,99.15,386
Deoghar,4060,1865,14,2181,53.72,38,2143,98.26,1005
Dhanbad,10957,5337,56,5564,50.78,111,5453,98.01,2945
Dumka,994,246,14,734,73.84,33,701,95.50,330
Garhwa,1458,585,9,864,59.26,26,838,96.99,376
Giridih,3238,820,37,2381,73.53,210,2171,91.18,961
Godda,1468,453,14,1001,68.19,16,985,98.40,429
Gumla,981,483,8,490,49.95,3,487,99.39,262
Hazaribagh,2579,1295,29,1255,48.66,30,1225,97.61,718
Jamtara,593,197,1,395,66.61,17,378,95.70,202
Khunti,618,221,8,389,62.94,14,375,96.40,184
Koderma,2506,822,9,1675,66.84,47,1628,97.19,771
Latehar,746,203,13,530,71.05,4,526,99.25,302
Lohardaga,917,357,6,554,60.41,17,537,96.93,281
Pakur,596,222,35,339,56.88,14,325,95.87,147
Palamu,4019,1372,82,2565,63.82,84,2481,96.73,958
Ramgarh,1985,792,29,1164,58.64,32,1132,97.25,586
Ranchi,12375,5550,119,6706,54.19,292,6414,95.65,3090
Sahibganj,1538,772,17,749,48.70,9,740,98.80,312
Seraikela-Kharsawan,2513,1150,37,1326,52.77,13,1313,99.02,752
Simdega,877,280,33,564,64.31,18,546,96.81,189
West Singhbhum,1567,531,23,1013,64.65,20,993,98.03,508
