district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,555065,244968,339018,461015,800033,66898,8.36,31466.76,2355,10.95,600926,75.11,440891,694166,86.77,
Chatra,635296,24667,298425,361538,659963,47405,7.18,28853.31,440,5.90,439710,66.63,275916,571847,86.65,
Deoghar,793974,227586,463988,557572,1021560,69842,6.84,43718.67,779,7.83,690784,67.62,255341,853044,83.50,
Dhanbad,814424,339095,496276,657243,1153519,93731,8.13,41608.85,4207,17.46,879348,76.23,558870,1030828,89.36,
Dumka,749472,65338,353802,461008,814810,72261,8.87,33033.70,866,3.34,538303,66.06,169750,671793,82.45,
East Singhbhum,537682,309201,358110,488773,846883,64075,7.57,35773.52,1768,14.95,642346,75.85,522718,749204,88.47,
Garhwa,729585,116878,395338,451125,846463,70725,8.36,30015.92,208,0.16,539403,63.72,216526,686179,81.06,
Giridih,1227720,117617,573878,771459,1345337,112730,8.38,58735.97,827,4.05,901986,67.05,684426,1180779,87.77,
Godda,745206,53705,352434,446477,798911,71291,8.92,26421.26,831,1.82,518717,64.93,193675,639270,80.02,
Gumla,515488,71557,260027,327018,587045,63721,10.85,31307.34,237,2.78,382372,65.14,262508,516038,87.90,
Hazaribagh,759485,190720,395637,554568,950205,92534,9.74,69317.31,1977,9.07,629347,66.23,449278,825169,86.84,
Jamtara,437950,32575,215317,255208,470525,37592,7.99,17081.32,744,3.40,301512,64.08,127274,401660,85.36,
Khunti,207412,12742,100027,120127,220154,21401,9.72,10695.41,761,3.81,113861,51.72,123553,195558,88.83,
Koderma,332457,37829,155337,214949,370286,26313,7.11,18128.69,535,8.29,283027,76.43,201944,337509,91.15,
Latehar,517153,47089,262171,302071,564242,46019,8.16,21771.57,230,3.67,364062,64.52,144430,470611,83.41,
Lohardaga,273538,17661,127781,163418,291199,37513,12.88,12972.31,346,0.81,183024,62.85,173349,271239,93.15,
Pakur,600809,55137,295947,359999,655946,53284,8.12,17283.26,389,1.66,449871,68.58,189682,560335,85.42,
Palamu,998855,267817,582435,684237,1266672,122659,9.68,42571.48,184,1.05,883950,69.79,273345,1027231,81.10,
Ramgarh,279027,35148,132955,181220,314175,28480,9.07,15614.78,2008,11.91,221705,70.57,164168,290890,92.59,
Ranchi,880772,410534,559230,732076,1291306,128404,9.94,61949.57,9564,22.51,821989,63.66,620899,1149249,89.00,
Sahibganj,682845,233969,420095,496719,916814,68025,7.42,28303.41,555,0.91,616459,67.24,184313,764862,83.43,
Seraikela-Kharsawan,369234,51155,187681,232708,420389,37137,8.83,17438.53,2599,6.71,274462,65.29,245915,373313,88.80,
Simdega,330191,11949,152199,189941,342140,26126,7.64,18544.88,898,1.57,256153,74.87,230094,319380,93.35,
West Singhbhum,642377,122819,349354,415842,765196,57134,7.47,33720.63,5377,13.39,533519,69.72,388203,677010,88.48,
