district,female_general_a_cs,sanc_amt_in_lakhs,minority_community_a_cs,sanc_amt_in_lakhs,obc_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,male_general_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,female+_male_total_a_cs,sanc_amt_in_lakhs
Bokaro,177,3616,6,99,41,1064,13,254,237,5033,0,0,32,678,32,678,269,5710
Chatra,21,396,1,20,18,371,0,0,40,787,0,0,4,122,4,122,44,909
Deoghar,106,2288,0,0,23,446,4,71,133,2805,0,0,8,134,8,134,141,2940
Dhanbad,261,6098,10,166,37,691,21,470,329,7425,0,0,33,773,33,773,362,8198
Dumka,36,736,1,56,10,280,5,169,52,1240,0,0,12,305,12,305,64,1546
Garhwa,10,159,0,0,2,20,1,20,13,199,0,0,4,80,4,80,17,280
Giridih,75,1546,3,64,37,665,6,91,121,2365,0,0,10,156,10,156,131,2521
Godda,44,902,2,29,14,231,2,70,62,1232,0,0,9,139,9,139,71,1372
Gumla,14,229,0,0,12,196,3,62,29,486,0,0,6,116,6,116,35,603
Hazaribagh,125,2100,7,144,64,1093,10,176,206,3513,0,0,20,434,20,434,226,3947
Jamtara,24,770,0,0,5,53,0,0,29,823,0,0,1,25,1,25,30,848
Khunti,18,364,0,0,1,15,0,0,19,379,0,0,2,29,2,29,21,408
Koderma,37,534,0,0,13,174,3,79,53,787,0,0,14,190,14,190,67,976
Latehar,20,415,0,0,18,306,5,56,43,778,0,0,6,79,6,79,49,856
Lohardaga,14,212,0,0,7,110,1,10,22,331,0,0,11,146,11,146,33,478
Pakur,16,420,1,15,2,63,0,0,19,498,0,0,3,82,3,82,22,580
Palamu,42,819,1,45,28,500,2,30,73,1395,0,0,15,265,15,265,88,1660
Ramgarh,67,1067,1,10,21,400,7,93,96,1570,0,0,10,148,10,148,106,1718
Ranchi,536,12277,14,272,91,1968,46,908,687,15425,1,71,103,2032,104,2103,791,17528
Sahibganj,14,309,1,10,11,148,2,58,28,524,0,0,3,35,3,35,31,559
Seraikela-Kharsawan,83,1562,0,0,8,146,2,36,93,1744,0,0,9,155,9,155,102,1899
Simdega,7,92,0,0,4,53,3,49,14,194,0,0,3,48,3,48,17,241
West Singhbhum,176,4544,1,11,22,403,16,280,215,5238,0,0,32,613,32,613,247,5851
