District,cd_ratio
Chittoor,70.27
East Godavari,128.27
Guntur,141.89
Krishna,151.35
Kurnool,120.35
Prakasam,161.01
Spsr Nellore,144.94
Srikakulam,98.71
Visakhapatanam,118.07
Vizianagaram,91.18
West Godavari,145.23
Y.s.r.,124.1
