district,No. of Aadhaar Seeded,female_a_c,male_a_c,No. of Rupay Card Issued,rural_a_c,sum_of_total_a_c,total_deposit_rs_in_crore,urban_a_c,No. of Zero Balance A/C
Alipurduar,31783.0,33430.0,28587.0,61137.0,34322.0,62017.0,25.9,27695.0,9181.0
Bankura,543302.0,593190.0,601813.0,724968.0,1042646.0,1195003.0,363.56,152357.0,256931.0
Birbhum,595649.0,513887.0,682149.0,771891.0,904380.0,1196036.0,285.78,291656.0,247464.0
Cooch Behar,443190.0,441440.0,384532.0,578101.0,535638.0,825972.0,162.0,290334.0,118322.0
Dakshin Dinajpur,289737.0,313575.0,304463.0,429223.0,554231.0,618038.0,128.11,63807.0,166070.0
Darjeeling,293837.0,276794.0,245931.0,458643.0,298856.0,522725.0,221.54,223869.0,97162.0
Hooghly,803379.0,513186.0,622005.0,815533.0,687035.0,1135191.0,470.36,448156.0,193069.0
Howrah,614238.0,407439.0,494600.0,721612.0,553621.0,902039.0,414.65,348418.0,116388.0
Jalpaiguri,579297.0,563277.0,486583.0,762889.0,553259.0,1049860.0,314.89,496601.0,262707.0
Kolkata,388309.0,339553.0,429605.0,696219.0,11575.0,769158.0,779.24,757583.0,121898.0
Malda,545180.0,773306.0,710568.0,885333.0,1381322.0,1483874.0,444.04,102552.0,296235.0
Murshidabad,926168.0,1082315.0,1040488.0,1169867.0,1386611.0,2122803.0,660.34,736192.0,362185.0
Nadia,624496.0,809173.0,802249.0,1100560.0,1024456.0,1611422.0,561.65,586966.0,303261.0
Paschim Medinipur,428030.0,705432.0,743251.0,843377.0,1178434.0,1448683.0,559.18,270249.0,140927.0
Purba Bardhaman,794806.0,688943.0,865105.0,1059789.0,1057791.0,1554048.0,604.73,496257.0,265320.0
Purba Medinipur,517696.0,648660.0,670863.0,948189.0,1119428.0,1319523.0,489.07,200095.0,153902.0
Uttar Dinajpur,496680.0,700961.0,658508.0,850314.0,1086737.0,1359469.0,217.95,272732.0,373149.0
