district,Overall CD Ratio,cd_ratio_september_2016_amount_in_rs_crore,variation_over_june
Alipurduar,42.0,3484.05,-2.0
Bankura,34.0,9953.82,0.0
Birbhum,39.0,9220.48,0.0
Cooch Behar,66.0,5263.4,-2.0
Dakshin Dinajpur,57.0,2659.69,0.0
Darjeeling,58.0,12280.36,-1.0
Hooghly,25.0,31132.93,0.0
Howrah,29.0,28620.28,4.0
Jalpaiguri,72.0,5692.61,-26.0
Kolkata,92.0,258066.79,-1.0
Malda,46.0,6696.83,4.0
Murshidabad,51.0,9983.61,-1.0
Nadia,43.0,17246.56,0.0
Paschim Medinipur,41.0,17513.99,0.0
Purba Bardhaman,41.0,48187.95,0.0
Purba Medinipur,47.0,16015.92,0.0
Purulia,41.0,7563.89,1.0
Uttar Dinajpur,59.0,3859.54,-1.0
