district,in_process,no_of_candidates_trained,no_of_training_conducted,of_settelment,own,self_employed_bank,total_settled,wage_employed
Bankura,1797.0,4373.0,192.0,56.0,987.0,1478.0,2465.0,517.0
Birbhum,3551.0,8582.0,205.0,59.0,1422.0,3609.0,5031.0,6.0
Cooch Behar,468.0,1729.0,66.0,73.0,652.0,609.0,1261.0,
Darjeeling,354.0,1037.0,41.0,66.0,196.0,487.0,683.0,
Hooghly,661.0,4124.0,156.0,71.0,443.0,2472.0,2915.0,
Howrah,2169.0,10809.0,438.0,78.0,6861.0,1540.0,8395.0,524.0
Jalpaiguri,777.0,3521.0,183.0,78.0,168.0,2576.0,2744.0,9.0
Malda,1639.0,4019.0,131.0,59.0,809.0,1571.0,2380.0,200.0
Murshidabad,1942.0,5745.0,193.0,66.0,1790.0,2013.0,3803.0,
Nadia,1096.0,3009.0,119.0,64.0,1219.0,694.0,1913.0,
North 24 Parganas,418.0,4053.0,151.0,90.0,1602.0,2032.0,3634.0,
Paschim Medinipur,1152.0,4015.0,114.0,71.0,645.0,2211.0,2856.0,121.0
Purba Bardhaman,1067.0,3723.0,145.0,71.0,1289.0,1367.0,2656.0,
Purba Medinipur,926.0,3656.0,126.0,75.0,1438.0,1291.0,2729.0,26.0
Purulia,1159.0,2457.0,98.0,50.0,339.0,893.0,1232.0,
South 24 Parganas,1589.0,5118.0,193.0,69.0,473.0,3036.0,3509.0,33.0
Uttar Dinajpur,1058.0,3063.0,126.0,65.0,542.0,1462.0,2004.0,7.0
