district,cumulative_amount_of_loan_disbursed_under_jlg_as_on,cumulative_no_of_jlgs_credit_linked_as_on,loan_disbursed_under_jlg_during_f_y_2016_17_april_to_september,no_of_jlgs_credit_linked_during_f_y_2016_17_april_to_september,no_of_jlgs_target
Bankura,238.49,809.0,64.58,124.0,7200.0
Birbhum,1142.12,1485.0,112.23,114.0,6000.0
Cooch Behar,3241.14,4421.0,78.16,324.0,2400.0
Dakshin Dinajpur,342.74,740.0,105.22,106.0,1600.0
Darjeeling,301.01,535.0,81.12,84.0,800.0
Hooghly,367.93,3425.0,184.56,444.0,4000.0
Howrah,742.31,1685.0,239.11,267.0,1600.0
Jalpaiguri,2157.54,3082.0,84.66,124.0,2000.0
Malda,389.16,1106.0,11.78,21.0,5600.0
Murshidabad,5039.6,12866.0,242.81,557.0,7200.0
Nadia,4235.87,5421.0,404.12,644.0,2000.0
Purba Bardhaman,3081.37,3550.0,98.56,128.0,8800.0
Purba Medinipur,2559.03,4209.0,603.07,704.0,6400.0
Purulia,1745.12,2021.0,71.24,84.0,4000.0
Uttar Dinajpur,2368.7,2560.0,31.89,49.0,3200.0
