district,achievement_as_on_sept_2016_no,amt,amt_in_lac,average_rs_lac,of_achievement_no,target_for_2016_17_no
Alipurduar,1643.0,88.9,2699.65,1.64,75.57,2174.0
Bankura,10473.0,51.21,11748.89,1.12,58.48,17910.0
Birbhum,5063.0,25.52,10272.74,2.03,18.48,27397.0
Cooch Behar,5509.0,49.5,7749.86,1.41,43.98,12526.0
Dakshin Dinajpur,1692.0,28.94,2183.57,1.29,28.04,6035.0
Darjeeling,884.0,66.65,1469.68,1.66,50.11,1764.0
Hooghly,6102.0,29.9,8175.4,1.34,29.73,20528.0
Howrah,3827.0,37.55,7191.82,1.88,26.54,14418.0
Jalpaiguri,3699.0,73.28,5718.25,1.55,61.19,6045.0
Malda,5239.0,47.39,5198.96,0.99,60.21,8701.0
Murshidabad,4063.0,33.03,5619.3,1.38,29.86,13608.0
Nadia,11426.0,37.31,7624.35,0.67,69.95,16334.0
North 24 Parganas,5555.0,39.73,7435.23,1.34,44.0,12626.0
Paschim Medinipur,9634.0,61.93,10828.67,1.12,68.87,13988.0
Purba Bardhaman,4082.0,25.85,6374.29,1.56,21.68,18829.0
Purba Medinipur,10917.0,64.39,17914.05,1.64,53.49,20410.0
Purulia,3359.0,25.53,3936.37,1.17,24.4,13768.0
South 24 Parganas,3974.0,29.3,4756.55,1.2,28.82,13787.0
Uttar Dinajpur,1884.0,30.13,2537.16,1.35,28.42,6630.0
