district,Deposit,Advance,CD ratio Norm 60%,Crop Loan/ KCC,% of Agri. Adv to NBC 18%,Total Priority Sector Advances,% of PS Advance to NBC Norm 40%
Bishnupur,12477.04,10516.85,84,1245.20,26,7158.88,68
Chandel,10463.69,7663.28,73,634.73,16,4671.36,61
Churachandpur,35333.13,15493.47,44,586.67,19,10337.12,67
Imphal East,47064.30,23706.91,50,1504.65,16,17407.31,73
Imphal West,377511.17,151098.27,40,6066.89,13,102468.51,68
Senapati,25361.04,18817.24,74,846.74,18,11033.34,59
Tamenglong,7478.67,2071.14,28,11.45,35,1750.57,85
Thoubal,26163.06,16059.87,61,2273.48,35,11792.74,73
Ukhrul,12874.03,3804.74,30,51.79,28,2785.75,73
