district,No of SHGs formed,No of women SHGs,No of SHGs taken up economic activities
Bishnupur,2449,2200,2174
Chandel,996,897,922
Churachandpur,2301,2170,1831
Imphal East,2822,2561,2451
Imphal West,6646,5795,5135
Senapati,3801,3670,3237
Tamenglong,997,815,699
Thoubal,5373,5087,4323
Ukhrul,1438,1318,1285
