district,amount,app_pending_no,forwarded_to_bank_no,mm_claimed_no,mm_disbursed_no,returned_no,sanctioned_no
Alipurduar,1.1,36.0,66.0,5.0,11.0,21.0,12.0
Bankura,0.1,3.0,15.0,0.0,1.0,12.0,4.0
Birbhum,0.18,6.0,15.0,10.0,11.0,5.0,17.0
Cooch Behar,0.27,10.0,15.0,2.0,4.0,4.0,12.0
Darjeeling,0.61,18.0,24.0,4.0,11.0,6.0,5.0
Hooghly,0.89,36.0,76.0,3.0,5.0,18.0,9.0
Howrah,0.65,26.0,44.0,0.0,7.0,9.0,6.0
Jalpaiguri,1.54,88.0,144.0,5.0,6.0,18.0,20.0
Jhargram,0.18,3.0,4.0,0.0,0.0,1.0,1.0
Kalimpong,0.07,3.0,7.0,0.0,0.0,1.0,3.0
Kolkata,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Malda,1.04,31.0,67.0,4.0,6.0,17.0,6.0
Murshidabad,1.2,36.0,90.0,18.0,22.0,16.0,45.0
Nadia,1.01,17.0,25.0,2.0,6.0,8.0,2.0
North 24 Parganas,2.57,76.0,130.0,22.0,27.0,17.0,37.0
Paschim Bardhaman,0.12,2.0,2.0,0.0,1.0,0.0,1.0
Paschim Medinipur,1.77,46.0,75.0,7.0,9.0,17.0,6.0
Purba Medinipur,11.46,204.0,290.0,72.0,81.0,47.0,67.0
Purulia,0.15,6.0,7.0,3.0,1.0,0.0,3.0
South 24 Parganas,1.35,31.0,65.0,20.0,21.0,15.0,38.0
Uttar Dinajpur,0.05,2.0,2.0,1.0,1.0,0.0,2.0
