district,advance,cd_ratio,cd_ratio_as_on_june_2020,cd_ratio_as_on_june_2021_deposit
Alipurduar,2725.03,41.73,40.28,6529.42
Bankura,5723.0,46.09,43.21,12416.0
Birbhum,6659.19,40.03,40.04,16635.74
Cooch Behar,6601.08,72.76,70.92,9072.28
Dakshin Dinajpur,2981.32,60.95,57.84,4891.14
Darjeeling,13051.33,63.48,60.26,20559.46
Hooghly,13746.54,30.24,28.55,45461.91
Howrah,17591.0,42.01,41.56,41870.7
Jalpaiguri,5336.74,58.35,50.17,9146.32
Jhargram,1658.94,40.05,40.01,4142.17
Kalimpong,677.34,40.02,36.54,1692.44
Kolkata,232738.73,59.68,74.99,389993.26
Malda,6852.48,56.01,53.45,12234.64
Murshidabad,9389.4,42.58,50.51,22053.23
Nadia,15188.1,50.03,49.17,30355.25
North 24 Parganas,52306.9,35.2,33.83,148613.98
Paschim Bardhaman,16912.02,41.19,40.35,41063.1
Paschim Medinipur,11893.56,47.23,48.37,25182.05
Purba Bardhaman,12867.58,44.05,43.8,29211.65
Purba Medinipur,12486.39,45.16,41.83,27647.96
Purulia,4521.22,53.35,54.73,8474.45
South 24 Parganas,16805.6,44.13,44.24,38084.23
Uttar Dinajpur,4715.47,61.22,59.36,7702.24
