district,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,target_group_addressed
Alipurduar,0.0,51.0,0.0,0.0,
Bankura,48.0,191.0,4.0,2.0,
Birbhum,0.0,212.0,0.0,0.0,
Cooch Behar,0.0,124.0,0.0,0.0,
Darjeeling,0.0,76.0,0.0,0.0,
Hooghly,0.0,237.0,0.0,0.0,
Howrah,1231.0,115.0,2.0,39.0,
Jalpaiguri,0.0,79.0,0.0,0.0,
Jhargram,0.0,82.0,0.0,0.0,
Kalimpong,0.0,14.0,0.0,0.0,
Kolkata,0.0,0.0,0.0,0.0,
Malda,25.0,184.0,1.0,1.0,36.0
Murshidabad,502.0,334.0,221.0,190.0,2346.0
Nadia,113.0,230.0,3.0,3.0,346.0
North 24 Parganas,0.0,255.0,0.0,0.0,
Paschim Bardhaman,425.0,101.0,10.0,10.0,2456.0
Paschim Medinipur,0.0,248.0,0.0,0.0,
Purba Bardhaman,44.0,203.0,9.0,1.0,246.0
Purba Medinipur,0.0,177.0,0.0,0.0,
Purulia,0.0,158.0,0.0,0.0,
South 24 Parganas,0.0,304.0,0.0,0.0,
Uttar Dinajpur,300.0,97.0,8.0,20.0,124.0
