district,average_disbursement,of_achievement,target_2021_22,total_disbursement,total_outstanding,total_sanctioned
Alipurduar,0.009,34.33,12235.0,4200.0,18881.0,2337.0
Bankura,0.013,19.45,29110.0,5661.0,47609.0,3056.0
Birbhum,0.022,8.54,50988.0,4352.0,56659.0,2046.0
Cooch Behar,0.008,37.76,28810.0,10879.0,45331.0,2180.0
Dakshin Dinajpur,0.006,29.11,14598.0,4250.0,21216.0,1311.0
Darjeeling,0.01,34.45,3928.0,1353.0,4586.0,512.0
Hooghly,0.012,36.35,19739.0,7175.0,36913.0,2561.0
Howrah,0.011,22.07,23863.0,5267.0,31717.0,2062.0
Jalpaiguri,0.01,36.81,14989.0,5518.0,32253.0,1610.0
Jhargram,0.014,11.48,9400.0,1079.0,15643.0,790.0
Kalimpong,0.011,40.43,1880.0,760.0,2486.0,205.0
Malda,0.009,29.36,28051.0,8235.0,51698.0,2905.0
Murshidabad,0.009,22.61,31883.0,7208.0,74242.0,2601.0
Nadia,0.009,20.69,24190.0,5004.0,44604.0,1847.0
North 24 Parganas,0.007,22.79,38018.0,8665.0,56786.0,3679.0
Paschim Bardhaman,0.017,7.87,8257.0,650.0,8156.0,456.0
Paschim Medinipur,0.017,12.63,29762.0,3758.0,55717.0,5877.0
Purba Bardhaman,0.018,11.52,37805.0,4357.0,46545.0,4026.0
Purba Medinipur,0.019,13.58,43328.0,5886.0,70593.0,6214.0
Purulia,0.007,15.23,20472.0,3117.0,33457.0,920.0
South 24 Parganas,0.009,33.69,31893.0,10744.0,65174.0,2707.0
Uttar Dinajpur,0.007,37.13,13928.0,5171.0,32218.0,1283.0
