district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,53.82,314.0,2167.0,2526.0,63.18,4693.0,4693.0,7428.0,607.0
Birbhum,73.64,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
Cooch Behar,100.0,1.0,0.0,4.0,13.33,4.0,4.0,30.0,0.0
Darjeeling,66.02,2.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
Hooghly,86.38,274.0,663.0,4206.0,70.49,4869.0,4869.0,6907.0,0.0
Howrah,25.55,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Jalpaiguri,77.4,264.0,965.0,3304.0,77.73,4269.0,4269.0,5492.0,264.0
Malda,54.83,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
Nadia,44.65,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
North 24 Parganas,58.56,2.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
Purba Bardhaman,59.55,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
Purba Medinipur,52.79,239.0,2239.0,2504.0,69.02,4743.0,4743.0,6872.0,49.0
Purulia,64.6,187.0,890.0,1624.0,52.24,2514.0,2514.0,4812.0,0.0
South 24 Parganas,77.75,315.0,1163.0,4065.0,63.34,5228.0,5228.0,8254.0,121.0
Uttar Dinajpur,33.33,1.0,13.0,8.0,87.5,24.0,21.0,24.0,0.0
