district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,66.06,2706.0,67.04,13568.0,45.0,16319.0
Bankura,60.07,2018.0,69.58,8272.0,255.0,10545.0
Birbhum,208.22,9770.0,219.78,22247.0,276.0,32293.0
Cooch Behar,60.44,3431.0,61.89,10630.0,150.0,14211.0
Dakshin Dinajpur,76.12,2285.0,78.68,17926.0,82.0,20293.0
Howrah,271.31,9960.0,285.99,51452.0,329.0,61741.0
Jalpaiguri,115.95,4122.0,122.71,28488.0,263.0,32873.0
Jhargram,20.64,314.0,21.17,4583.0,43.0,4940.0
Kalimpong,3.14,227.0,3.18,62.0,6.0,295.0
Kolkata,177.1,6965.0,198.19,19825.0,719.0,27509.0
Malda,152.03,5104.0,155.69,33563.0,197.0,38864.0
Murshidabad,343.5,15929.0,354.2,68648.0,305.0,84882.0
Nadia,281.65,9591.0,291.59,53913.0,498.0,64002.0
North 24 Parganas,307.1,14564.0,338.12,51457.0,626.0,66647.0
Paschim Medinipur,145.91,5449.0,158.1,18436.0,387.0,24272.0
Purba Bardhaman,245.86,9660.0,262.11,30434.0,476.0,40570.0
Purba Medinipur,212.51,7507.0,221.35,32974.0,349.0,40830.0
South 24 Parganas,208.78,9774.0,220.23,39820.0,338.0,49932.0
Uttar Dinajpur,79.11,2585.0,81.25,19192.0,166.0,21943.0
