district,amount,kcc_disbursement_during_01_04_2021_to_30_06_2021_fresh_renewal_no,kcc_outstanding_as_on_30_06_2021_no,of_achievement_no,target_no
Alipurduar,259.79,3554.0,43865.0,9.23,38500.0
Bankura,788.52,4723.0,175435.0,2.39,198000.0
Birbhum,757.9,103127.0,192050.0,42.97,240000.0
Cooch Behar,784.96,13820.0,177819.0,7.27,190000.0
Dakshin Dinajpur,986.47,5265.0,197599.0,4.58,115000.0
Darjeeling,101.18,953.0,18646.0,5.15,18500.0
Hooghly,1012.5,35873.0,193937.0,9.08,395000.0
Howrah,360.29,17553.0,73773.0,18.48,95000.0
Jalpaiguri,464.67,7033.0,90326.0,17.58,40000.0
Jhargram,248.72,13437.0,54947.0,24.43,55000.0
Kalimpong,32.81,617.0,8691.0,6.17,10000.0
Kolkata,0.0,0.0,0.0,,0.0
Malda,369.9,24616.0,88959.0,22.38,110000.0
Murshidabad,206.52,32786.0,67333.0,34.51,95000.0
Nadia,815.56,21733.0,173351.0,19.76,110000.0
Paschim Bardhaman,94.48,3809.0,16811.0,15.24,25000.0
Paschim Medinipur,1812.04,12678.0,363211.0,5.17,245000.0
Purba Bardhaman,1417.64,60776.0,351225.0,21.71,280000.0
Purba Medinipur,1650.19,271394.0,427379.0,36.19,750000.0
Purulia,234.37,5012.0,98372.0,14.32,35000.0
Uttar Dinajpur,1159.09,11007.0,309069.0,20.01,55000.0
