district,1_year_and_above,6_months_to_1_year,above_60_day_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,0.0,2.0,0.0,2.0
Bankura,8.0,17.0,4.0,0.0,29.0
Birbhum,29.0,25.0,0.0,0.0,54.0
Cooch Behar,38.0,7.0,2.0,1.0,48.0
Dakshin Dinajpur,46.0,11.0,2.0,0.0,59.0
Darjeeling,24.0,12.0,4.0,0.0,40.0
Hooghly,67.0,35.0,105.0,3.0,210.0
Howrah,126.0,78.0,17.0,3.0,224.0
Jalpaiguri,23.0,3.0,1.0,0.0,27.0
Jhargram,1.0,2.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,0.0,1.0,1.0
Kolkata,50.0,367.0,0.0,9.0,426.0
Malda,34.0,16.0,14.0,0.0,64.0
Murshidabad,76.0,19.0,8.0,9.0,112.0
Nadia,39.0,4.0,12.0,1.0,56.0
North 24 Parganas,122.0,62.0,34.0,19.0,237.0
Paschim Bardhaman,33.0,39.0,10.0,6.0,88.0
Paschim Medinipur,34.0,11.0,44.0,1.0,90.0
Purba Bardhaman,47.0,10.0,9.0,13.0,79.0
Purba Medinipur,19.0,28.0,21.0,0.0,68.0
Purulia,8.0,9.0,3.0,2.0,22.0
South 24 Parganas,323.0,39.0,38.0,13.0,413.0
Uttar Dinajpur,28.0,3.0,11.0,0.0,42.0
