district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,53.82,314.0,2167.0,2526.0,63.18,4693.0,4693.0,7428.0,607.0
Birbhum,73.64,233.0,1241.0,3466.0,68.77,4707.0,4707.0,6845.0,8.0
Cooch Behar,52.51,144.0,1143.0,1264.0,70.79,2407.0,2407.0,3400.0,34.0
Darjeeling,66.02,115.0,755.0,1467.0,74.31,2222.0,2222.0,2990.0,44.0
Hooghly,86.38,274.0,663.0,4206.0,70.49,4869.0,4869.0,6907.0,0.0
Howrah,25.55,636.0,9719.0,3335.0,81.21,13054.0,13054.0,16075.0,644.0
Jalpaiguri,77.4,264.0,965.0,3304.0,77.73,4269.0,4269.0,5492.0,264.0
Malda,54.83,235.0,2083.0,2528.0,66.7,4611.0,4611.0,6913.0,594.0
Nadia,44.65,222.0,2078.0,1676.0,66.36,3754.0,3754.0,5657.0,74.0
North 24 Parganas,58.56,280.0,2326.0,3287.0,78.91,5613.0,5613.0,7113.0,124.0
Purba Bardhaman,59.55,254.0,1815.0,2672.0,69.6,4487.0,4487.0,6447.0,0.0
Purba Medinipur,52.79,239.0,2239.0,2504.0,69.02,4743.0,4743.0,6872.0,49.0
Purulia,64.6,187.0,890.0,1624.0,52.24,2514.0,2514.0,4812.0,0.0
South 24 Parganas,77.75,315.0,1163.0,4065.0,63.34,5228.0,5228.0,8254.0,121.0
Uttar Dinajpur,54.19,220.0,1851.0,2190.0,73.53,4041.0,4041.0,5496.0,80.0
