district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,297.31,1292.61,516.55,14.03,310.05,2119.21
Bankura,1912.39,4432.3,3723.11,21.07,921.43,9076.84
Birbhum,1490.01,4634.15,3723.15,15.34,1356.1,9713.4
Cooch Behar,517.3,3725.89,2135.52,7.59,953.34,6814.75
Dakshin Dinajpur,1731.67,3862.15,3804.44,20.45,799.64,8466.23
Darjeeling,1516.4,997.02,1905.14,39.64,922.99,3825.15
Hooghly,1856.29,4611.24,4333.84,17.63,1581.11,10526.19
Howrah,3855.38,2141.08,11440.81,26.3,1079.36,14661.25
Jalpaiguri,1063.36,2303.21,2490.94,18.36,998.51,5792.66
Jhargram,950.32,2117.51,1774.4,20.51,741.29,4633.2
Kalimpong,26.25,297.35,325.45,3.6,106.79,729.59
Kolkata,4022.71,614.55,13792.23,18.66,7156.76,21563.54
Malda,1781.06,5751.32,2407.38,16.03,2949.97,11108.67
Murshidabad,2792.46,7606.64,5388.68,18.84,1827.15,14822.47
Nadia,2891.0,6393.07,6232.77,20.18,1699.48,14325.32
Paschim Bardhaman,1316.04,306.48,5049.93,22.72,434.81,5791.22
Purba Bardhaman,1931.73,8142.25,4038.52,14.16,1457.78,13638.55
Purba Medinipur,3046.17,5567.84,5109.98,24.04,1995.45,12673.27
Purulia,1383.19,3438.91,2881.61,18.64,1100.24,7420.76
Uttar Dinajpur,750.92,2929.71,954.75,15.48,967.27,4851.73
