District,Deposit,Advance,CD ratio Norm 60%
Thoubal,18558.63,18519.67,100
Kakching,8513.65,10750.22,126
Chandel,11377.00,8135.34,72
Tengnoupal,7233.89,7181.07,99
Churachandpur,39742.66,27195.89,68
Pherzawl,61.00,466.07,764
Senapati,26388.27,21895.77,83
Kangpokpi,13281.80,10737.38,81
Imphal West,405550.19,221964.86,55
Imphal East,65802.50,46007.69,70
Jiribam,0.00,0.00,0
Bishnupur,17331.74,17136.70,99
Tamenglong,0.00,0.00,0
Noney,1741.65,1243.27,71
Ukhrul,5579.79,3420.00,61
Kamjong,657.00,843.84,128
