District,Lead Bank,Dateof Dcc Meeting 1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,Datesof Dlrc Meeting 1st Qtr
Bishnupur,,15.09.18,,,,15.09.18
Chandel,,16.11.18,,,,16.11.18
Churachandpur,,03.10.18,03.10.18,,,03.10.18
Imphal East,U B I,15.09.18,,,,15.09.18
Imphal West,,,,,,
Jiribam,,28.08.18,,,,28.08.18
Kakching,,29.09.18,,,,29.09.18
Kamjong,,07.09.18,,,,07.09.18
Kangpokpi,,21.09.18,,,,21.09.18
Noney,,,,,,
Pherzawl,,19.09.18,,,,19.09.18
Senapati,,20.09.18,,,,20.09.18
Tamenglong,,27.11.18,27.11.18,,,27.11.18
Tengnoupal,,28.09.18,,,,28.09.18
Thoubal,S B I,12.10.18,,,,12.10.18
Ukhrul,,21.09.18,,,,21.09.18
