District,Lead Bank Allottedto,No. ofvillages,No. ofhouse – holds,No. ofhouseholdscoveredbyopeningbankaccounts (No. ofaccountsopened),No. of KCC issued
Bishnupur,,48,44891,279670,8312
Chandel,,447,29097,90015,1659
Churachandpur,,613,49916,249641,4499
Imphal East,,195,91806,303561,7582
Imphal West,,150,111393,933689,22130
Jiribam,,,,,54
Kakching,,,,,1107
Kamjong,,,,,0
Kangpokpi,,,,,2895
Noney,,,,,17
Pherzawl,,,,,0
Senapati,,934,34487,215370,5716
Tamenglong,,171,24477,66174,134
Tengnoupal,a di n I of k n a B d e nit U,,,,1150
Thoubal,a di n I of k n a B e at St,128,85295,452574,9277
Ukhrul,,198,35790,131134,589
