District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,6189.0,51729.14,,
Aligarh,9228.0,53510.64,,
Ambedkar Nagar,1330.0,5419.49,,
Amethi,545.0,2909.86,,
Auraiya,1417.0,6530.25,,
Ayodhya,1641.0,8032.73,,
Azamgarh,4397.0,11988.68,,
Bahraich,395.0,3070.86,,
Ballia,1050.0,4795.39,,
Banda,274.0,1848.73,,
Barabanki,773.0,4909.32,,
Bareilly,2158.0,9958.84,,
Basti,903.0,4267.77,60.0,10.34
Bhadohi,658.0,3080.76,,
Bijnor,824.0,4300.39,,
Budaun,847.0,3043.89,111.0,6.69
Bulandshahr,1053.0,6117.89,252.0,31.53
Chandauli,663.0,2881.55,,
Chitrakoot,265.0,1807.94,11.0,1.08
Deoria,851.0,4398.15,,
Etah,220.0,1966.38,,
Etawah,401.0,2823.1,,
Farrukhabad,357.0,1795.64,86.0,11.23
Fatehpur,776.0,4571.76,77.0,9.87
Firozabad,1000.0,4673.9,,
Gautam Buddha Nagar,2103.0,48538.21,322.0,65.37
Ghaziabad,2649.0,42531.87,449.0,75.17
Ghazipur,2997.0,6965.81,68.0,10.39
Gonda,1005.0,4422.14,,
Gorakhpur,2250.0,13134.87,310.0,49.76
Hamirpur,2249.0,8242.68,29.0,3.78
Hapur,147.0,34.09,122.0,24.43
Hardoi,818.0,4230.47,,
Hathras,290.0,2358.01,86.0,12.11
Jalaun,279.0,2078.34,55.0,8.32
Jaunpur,1835.0,7311.43,64.0,7.83
Jhansi,10228.0,4277900.0,217.0,26.03
Kannauj,443.0,2140.49,31.0,5.28
Kanpur Dehat,677.0,6198.8,37.0,4.56
Kanpur Nagar,28410.0,20622890.0,596.0,97.39
Kasganj,51.0,10.74,36.0,6.18
Kaushambi,563.0,2183.13,,
Kheri,534.0,2865.61,,
Kushi Nagar,599.0,3669.88,51.0,8.52
Lalitpur,436.0,2134.42,74.0,6.39
Lucknow,4520.0,46193.04,856.0,150.13
Maharajganj,989.0,5264.84,,
Mahoba,166.0,1143.99,,
Mainpuri,389.0,2383.4,,
Mathura,7312.0,4293543.0,247.0,33.59
Mau,1536.0,5177.02,,
Meerut,2307.0,15388.44,464.0,85.79
Mirzapur,940.0,5324.15,,
Moradabad,1732.0,9005.38,237.0,36.69
Muzaffarnagar,1240.0,5585.4,188.0,27.8
Pilibhit,77.0,14.5,60.0,8.32
Pratapgarh,1323.0,6179.62,102.0,12.34
Prayagraj,23502.0,117041.95,353.0,56.16
Rae Bareli,1593.0,9623.88,155.0,1629.0
Rampur,714.0,3409.06,63.0,6.16
Saharanpur,1460.0,5533.07,228.0,29.44
Sambhal,257.0,1683.37,26.0,2.88
Sant Kabeer Nagar,489.0,2670.81,,
Shahjahanpur,927.0,3918.49,,
Shravasti,101.0,408.47,,
Siddharth Nagar,802.0,3087.34,39.0,4.28
Sitapur,610.0,3625.62,58.0,8.27
Sonbhadra,547.0,4058.13,71.0,10.6
Sultanpur,997.0,5717.55,,
Unnao,796.0,4513.6,,
Varanasi,3176.0,18235.52,516.0,84.26
