District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Balrampur,551568.0,78320.0,283229.0,346659.0,629888.0,575717.0,325.34,46732.0,353567.0,546776.0,94.97,61.41
Bareilly,1331751.0,725519.0,977353.0,1079917.0,2057270.0,1979215.0,785.8,104750.0,1535353.0,1836181.0,92.77,77.57
Bijnor,1115327.0,295061.0,569034.0,841354.0,1410388.0,1333497.0,447.33,157941.0,985651.0,1196288.0,89.71,73.91
Bulandshahr,936587.0,342965.0,548314.0,731238.0,1279552.0,1200347.0,494.37,94010.0,986245.0,1020588.0,85.02,
Chitrakoot,299684.0,62208.0,182279.0,179613.0,361892.0,313615.0,141.32,21782.0,171229.0,300347.0,95.77,54.6
Etah,351421.0,400759.0,356114.0,396066.0,752180.0,711110.0,251.56,76645.0,577995.0,585249.0,82.3,81.28
Farrukhabad,567059.0,318653.0,410913.0,474799.0,885712.0,782880.0,281.17,98516.0,670396.0,731970.0,93.5,85.63
Gautam Buddha Nagar,245549.0,720348.0,597943.0,367954.0,965897.0,878193.0,446.21,91205.0,753301.0,775422.0,88.3,85.78
Ghaziabad,185232.0,718970.0,422181.0,482021.0,904202.0,854454.0,390.91,73946.0,691260.0,704487.0,82.45,80.9
Ghazipur,1310042.0,200790.0,674391.0,836441.0,1510832.0,1413727.0,630.38,209283.0,827857.0,1251228.0,88.51,58.56
Hardoi,1459528.0,275045.0,807564.0,927009.0,1734573.0,1646761.0,728.66,149668.0,1314728.0,1425569.0,86.57,79.84
Jalaun,388945.0,151900.0,259528.0,281317.0,540845.0,490275.0,222.48,20491.0,297018.0,434328.0,88.59,60.58
Jhansi,340753.0,308039.0,306323.0,342469.0,648792.0,603383.0,236.89,47243.0,448190.0,521450.0,86.42,7428.0
Kanpur Nagar,485010.0,903204.0,657269.0,730945.0,1388214.0,1281043.0,651.33,82801.0,1078558.0,1168853.0,91.24,84.19
Kasganj,240922.0,324726.0,252618.0,313030.0,565648.0,528824.0,165.42,44368.0,425946.0,451667.0,85.41,80.55
Kaushambi,637942.0,80273.0,348605.0,369610.0,718215.0,646163.0,333.69,31764.0,591160.0,631085.0,97.67,91.49
Kheri,1393986.0,197397.0,747498.0,843885.0,1591383.0,1462896.0,533.84,81498.0,796234.0,1408612.0,96.29,54.43
Lalitpur,393203.0,261230.0,,,,,,,,,,
Lucknow,523722.0,885848.0,654364.0,755206.0,1409570.0,1353070.0,745.19,128386.0,1036674.0,1138481.0,84.14,76.62
Mahoba,237768.0,73667.0,151903.0,159532.0,311435.0,264968.0,158.73,12429.0,161751.0,250082.0,94.38,61.05
Mainpuri,600056.0,361666.0,471212.0,490510.0,961722.0,850643.0,279.67,101721.0,749246.0,752848.0,88.5,88.08
Mathura,476836.0,309692.0,382806.0,403722.0,786528.0,705201.0,284.1,61199.0,614459.0,649623.0,92.12,87.13
Moradabad,458701.0,577797.0,455721.0,580777.0,1036498.0,834173.0,329.71,87121.0,737193.0,810258.0,97.13,88.37
Pratapgarh,1473106.0,63534.0,751765.0,784875.0,1536640.0,1432379.0,887.31,69332.0,980413.0,1348108.0,94.12,68.45
Prayagraj,2214137.0,68.3524,1409000.0,1488661.0,2897661.0,2779364.0,1343.92,154818.0,2302556.0,2456396.0,88.38,82.84
Rampur,545129.0,278863.0,389534.0,434458.0,823992.0,716625.0,352.85,59495.0,646352.0,714215.0,99.66,90.19
Sambhal,514360.0,342190.0,381173.0,415377.0,856550.0,777661.0,179.21,65324.0,603249.0,667422.0,85.82,77.57
Sant Kabeer Nagar,582946.0,83648.0,288068.0,378526.0,666594.0,607533.0,223.43,95528.0,427254.0,489707.0,80.61,70.33
Shahjahanpur,1223568.0,400360.0,801377.0,822551.0,1623928.0,1515046.0,572.0,77684.0,1351700.0,1438020.0,94.92,89.22
Sonbhadra,577895.0,38341.0,296137.0,320099.0,616236.0,553490.0,,,,,,
Varanasi,1003141.0,599364.0,724970.0,877535.0,1602505.0,1599672.0,845.54,130886.0,1045508.0,1318757.0,82.44,65.36
