District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,1470.0,15.0,108.0,4.0,1597.0,27.56
Ambedkar Nagar,317.0,2.0,32.0,351.0,5.98,
Amethi,204.0,2.0,10.0,216.0,4.04,
Amroha,910.0,4.0,27.0,2.0,943.0,14.0
Ayodhya,933.0,12.0,61.0,2.0,1008.0,18.04
Azamgarh,436.0,3.0,43.0,1.0,483.0,8.38
Baghpat,278.0,6.0,12.0,296.0,4.64,
Bahraich,539.0,11.0,69.0,2.0,621.0,9.56
Ballia,409.0,4.0,29.0,1.0,443.0,7.48
Banda,336.0,5.0,37.0,2.0,374.0,5.52
Barabanki,1205.0,11.0,139.0,4.0,1359.0,23.66
Bareilly,1876.0,15.0,128.0,6.0,2025.0,36.58
Basti,503.0,1.0,22.0,1.0,527.0,9.72
Bulandshahr,649.0,25.0,60.0,5.0,739.0,12.06
Chandauli,221.0,2.0,13.0,236.0,4.38,
Deoria,318.0,2.0,28.0,2.0,350.0,5.74
Etawah,197.0,14.0,2.0,213.0,3.72,
Farrukhabad,732.0,7.0,70.0,4.0,813.0,14.42
Gautam Buddha Nagar,573.0,21.0,25.0,4.0,623.0,10.26
Ghaziabad,1399.0,43.0,58.0,11.0,1511.0,25.64
Gonda,464.0,50.0,47.0,8.0,569.0,7.36
Hamirpur,150.0,5.0,20.0,175.0,2.54,
Hardoi,861.0,15.0,91.0,2.0,969.0,16.7
Hathras,105.0,1.0,14.0,120.0,1.98,
Jalaun,292.0,1.0,27.0,320.0,5.52,
Jaunpur,435.0,1.0,28.0,3.0,467.0,8.34
Jhansi,358.0,10.0,20.0,2.0,390.0,6.74
Kanpur Dehat,298.0,28.0,326.0,5.96,,
Kanpur Nagar,1102.0,23.0,56.0,11.0,1192.0,21.3
Kheri,1204.0,44.0,127.0,4.0,1379.0,22.12
Kushi Nagar,275.0,17.0,1.0,293.0,5.26,
Lalitpur,158.0,2.0,5.0,165.0,2.94,
Lucknow,1920.0,44.0,89.0,16.0,2069.0,35.8
Mainpuri,435.0,3.0,76.0,1.0,509.0,8.14
Mathura,678.0,9.0,36.0,5.0,728.0,11.8
Mau,231.0,2.0,14.0,1.0,248.0,4.56
Meerut,1555.0,36.0,68.0,12.0,1671.0,26.92
Mirzapur,470.0,11.0,51.0,532.0,8.26,
Moradabad,2050.0,9.0,113.0,8.0,2180.0,35.5
Pilibhit,684.0,9.0,42.0,735.0,13.1,
Pratapgarh,750.0,2.0,46.0,4.0,802.0,14.66
Prayagraj,1171.0,8.0,86.0,4.0,1269.0,22.34
Rampur,1041.0,9.0,59.0,3.0,1112.0,18.0
Saharanpur,2122.0,30.0,128.0,21.0,2301.0,41.1
Sambhal,759.0,3.0,42.0,3.0,807.0,13.34
Shahjahanpur,953.0,3.0,88.0,1.0,1045.0,18.94
Shravasti,106.0,5.0,11.0,2.0,124.0,1.8
Siddharth Nagar,116.0,10.0,126.0,1.98,,
Sitapur,841.0,10.0,86.0,3.0,940.0,15.12
Sonbhadra,279.0,10.0,36.0,325.0,5.0,
Sultanpur,672.0,5.0,51.0,728.0,12.94,
Unnao,749.0,9.0,67.0,1.0,826.0,14.58
