District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Amethi,1500.0,1440.75,711.0,777.23,47.4,53.95
Auraiya,2108.0,2025.21,222.0,86.54,10.53,4.27
Ayodhya,1000.0,960.5,502.0,476.57,50.2,49.62
Azamgarh,3900.0,3745.95,481.0,,,
Baghpat,1634.0,1569.46,915.0,1009.12,56.0,64.3
Banda,2315.0,2224.04,1162.0,4524.93,50.19,100.0
Barabanki,3400.0,3265.7,541.0,1216.27,15.91,37.24
Bhadohi,1200.0,1152.6,358.0,315.99,29.83,27.42
Bijnor,3500.0,3361.75,715.0,1063.13,20.43,31.62
Budaun,3600.0,3457.8,794.0,652.59,22.06,18.87
Chandauli,3364.0,3231.12,831.0,466.21,24.7,14.43
Chitrakoot,1928.0,1852.32,1036.0,1034.47,53.73,55.85
Deoria,3400.0,3265.7,1736.0,1280.66,51.06,39.22
Etah,1040.0,998.92,757.0,537.41,72.79,53.8
Etawah,2341.0,2249.01,590.0,334.82,25.2,14.89
Farrukhabad,612.0,587.83,468.0,370.64,76.47,63.05
Fatehpur,3600.0,3457.8,934.0,467.49,25.94,13.52
Firozabad,1600.0,1536.8,474.0,593.07,29.63,38.59
Gautam Buddha Nagar,434.0,417.34,227.0,172.81,52.3,41.41
Ghazipur,1021.0,981.15,32.0,29.25,3.13,2.98
Gorakhpur,3900.0,3745.95,1302.0,1207.29,33.38,32.23
Hapur,735.0,705.97,323.0,289.81,43.95,41.05
Hardoi,3381.0,3247.93,1264.0,1606.76,37.39,49.47
Jaunpur,1786.0,1715.93,242.0,169.67,13.55,9.89
Jhansi,2249.0,2160.64,673.0,1004.8,29.92,46.5
Kanpur Dehat,601.0,577.74,613.0,388.65,100.0,67.21
Kanpur Nagar,1400.0,1344.7,286.0,209.69,20.43,15.59
Kasganj,505.0,485.05,213.0,126.33,42.18,26.04
Kaushambi,725.0,696.36,384.0,375.02,52.97,53.85
Kushi Nagar,1255.0,1205.91,318.0,228.79,25.34,18.97
Lalitpur,2046.0,1965.18,572.0,642.89,27.96,32.71
Lucknow,2243.0,2154.88,841.0,1096.3,37.49,50.88
Maharajganj,1600.0,1536.8,303.0,158.43,18.94,10.31
Mahoba,1029.0,988.83,290.0,399.11,28.18,40.36
Mathura,774.0,743.91,344.0,312.0,44.44,41.94
Mau,1200.0,1152.6,137.0,106.45,11.42,9.24
Meerut,1500.0,1440.75,397.0,463.17,26.47,32.15
Moradabad,1400.0,1344.7,1123.0,476.36,80.21,35.43
Muzaffarnagar,989.0,950.41,715.0,785.6,72.3,82.66
Pratapgarh,1400.0,1344.7,621.0,445.81,44.36,33.16
Prayagraj,3900.0,3745.95,2033.0,1793.65,52.13,47.88
Rae Bareli,1400.0,1344.7,1425.0,1174.17,100.0,87.32
Rampur,630.0,605.12,2243.0,897.35,100.0,100.0
Saharanpur,1500.0,1440.75,513.0,733.37,34.2,50.9
Sambhal,726.0,697.32,520.0,175.52,71.63,25.17
Sant Kabeer Nagar,805.0,773.2,165.0,63.1,20.5,8.16
Shamli,1347.0,1293.79,543.0,523.75,40.31,40.48
Shravasti,1500.0,1440.75,336.0,520.12,22.4,36.1
Siddharth Nagar,2200.0,2113.1,286.0,207.69,13.0,9.83
Sitapur,1500.0,1440.75,158.0,164.71,10.53,11.43
Sultanpur,3611.0,3457.8,1320.0,1066.76,36.55,30.85
Unnao,2859.0,2746.07,708.0,1260.44,24.76,45.9
