District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Agra,315892.0,1205.49,1203.64,21706.0,308.12,300.38,3908.0,314.53
Amroha,18761.0,59.8,57.55,3230.0,56.8,49.59,660.0,52.14
Baghpat,26680.0,69.36,68.63,5841.0,83.74,79.55,496.0,40.14
Bahraich,49645.0,143.3,142.67,12545.0,147.15,144.74,678.0,52.9
Balrampur,4386.0,11.66,11.29,1878.0,44.93,42.66,512.0,47.42
Banda,29930.0,86.82,86.47,4446.0,68.7,66.98,453.0,37.29
Barabanki,27060.0,70.11,68.34,14347.0,185.57,178.08,1015.0,81.57
Basti,46262.0,141.78,141.02,9527.0,112.29,109.91,874.0,69.95
Chitrakoot,26186.0,78.78,78.0,6159.0,57.56,56.58,254.0,20.2
Deoria,148663.0,397.87,396.65,48423.0,413.6,406.84,1530.0,125.25
Etawah,28425.0,7.76,6.96,1599.0,42.85,39.4,631.0,
Farrukhabad,2368.0,5.19,4.71,3424.0,65.24,59.68,510.0,40.85
Firozabad,35114.0,99.47,98.03,7800.0,97.9,93.53,873.0,71.33
Ghaziabad,57880.0,160.88,157.03,18254.0,245.22,239.95,3020.0,243.4
Ghazipur,61901.0,192.46,190.36,21891.0,229.14,224.71,1023.0,85.14
Gorakhpur,247839.0,784.9,782.72,78523.0,698.6,687.17,3786.0,308.06
Hardoi,14363.0,20.84,18.98,5499.0,111.46,106.01,1039.0,84.29
Jhansi,48700.0,132.85,129.89,7118.0,94.96,87.68,1090.0,87.46
Kannauj,19372.0,57.68,57.31,9546.0,106.3,102.46,924.0,65.89
Kanpur Dehat,12003.0,33.1,32.6,4035.0,64.22,56.49,402.0,32.48
Kanpur Nagar,64726.0,156.14,151.13,29248.0,417.04,407.2,4240.0,335.39
Kushi Nagar,190186.0,556.03,554.86,48032.0,383.02,378.5,871.0,70.88
Lalitpur,1187.0,2.38,2.07,1102.0,24.76,21.79,382.0,29.07
Lucknow,108286.0,270.81,261.56,40392.0,576.8,555.8,6089.0,470.74
Mahoba,4771.0,14.1,13.66,821.0,17.07,16.25,117.0,9.45
Mainpuri,4549.0,7.1,6.77,3798.0,77.45,73.55,766.0,61.17
Mau,50350.0,137.39,136.33,11376.0,124.68,121.59,666.0,55.46
Meerut,69376.0,198.91,194.95,20927.0,245.22,240.11,2387.0,190.23
Moradabad,39638.0,115.22,114.11,22168.0,273.48,264.86,1919.0,144.59
Pilibhit,7975.0,21.06,20.26,3227.0,71.07,65.21,751.0,58.29
Prayagraj,153351.0,469.25,464.62,43954.0,488.49,475.09,3187.0,260.17
Rae Bareli,34845.0,100.94,98.93,14555.0,195.37,187.1,1711.0,143.27
Saharanpur,132974.0,454.89,445.37,37462.0,325.58,316.99,1313.0,106.15
Sambhal,15096.0,53.25,51.19,1731.0,33.88,30.51,374.0,29.56
Sant Kabeer Nagar,19163.0,69.48,69.03,4711.0,66.81,64.84,654.0,55.33
Shahjahanpur,32683.0,82.1,80.73,6809.0,93.88,91.13,1046.0,85.33
Siddharth Nagar,13791.0,31.41,31.08,3845.0,59.68,57.26,651.0,54.94
Varanasi,138643.0,398.13,394.25,48857.0,538.58,527.39,4328.0,347.81
