District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,250.0,49.0,85.0,384.0,3.88,449987.0
Aligarh,146081.0,153817.0,188.0,300086.0,401272.0,384927.0
Ambedkar Nagar,36.0,1.0,4.0,41.0,0.6,215180.0
Amethi,41.0,1.0,9.0,1.0,52.0,0.75
Amroha,121.0,8.0,5.0,134.0,0.3,
Auraiya,28890.0,22775.0,46.0,51711.0,101062.0,75259.0
Ayodhya,92.0,7.0,19.0,118.0,1.13,
Azamgarh,110.0,2.0,24.0,136.0,1.72,274350.0
Baghpat,84.0,9.0,18.0,111.0,1.1,70583.0
Bahraich,70.0,47.0,117.0,1.25,202567.0,245051.0
Ballia,35.0,3.0,6.0,44.0,0.54,273403.0
Balrampur,44298.0,29326.0,75.0,73699.0,158935.0,122770.0
Banda,80032.0,64564.0,20.0,144616.0,177078.0,136832.0
Barabanki,104.0,10.0,63.0,177.0,1.91,
Bareilly,156.0,24.0,22.0,1.0,203.0,1.53
Basti,19.0,6.0,1.0,26.0,0.26,223256.0
Bhadohi,13.0,1.0,9.0,23.0,0.23,
Bijnor,165.0,7.0,39.0,211.0,1.73,297501.0
Budaun,88.0,12.0,100.0,0.64,,
Chandauli,56.0,15.0,71.0,0.62,,
Chitrakoot,18.0,6.0,15.0,1.0,40.0,0.32
Deoria,30.0,4.0,4.0,38.0,0.46,219400.0
Etah,95.0,19.0,39.0,153.0,1.6,
Etawah,62.0,7.0,69.0,74.0,169298.0,127368.0
Farrukhabad,76.0,3.0,29.0,108.0,1.4,
Firozabad,66.0,14.0,18.0,98.0,1.12,
Gautam Buddha Nagar,104.0,6.0,31.0,1.0,142.0,1.32
Ghazipur,60729.0,54913.0,126.0,115768.0,322345.0,259849.0
Gonda,62.0,1.0,14.0,3.0,80.0,60.0
Gorakhpur,388.0,1.0,181.0,1.0,571.0,1.02
Hapur,46.0,5.0,9.0,60.0,90.0,64366.0
Jalaun,67126.0,55601.0,23.0,122750.0,190055.0,136533.0
Jaunpur,75.0,2.0,13.0,90.0,1.14,
Jhansi,68.0,7.0,21.0,96.0,90.0,164110.0
Kannauj,58.0,7.0,44.0,109.0,1.12,
Kanpur Nagar,235.0,12.0,50.0,297.0,3.51,
Kasganj,50274.0,48291.0,10.0,98575.0,173353.0,147543.0
Kaushambi,27.0,1.0,4.0,32.0,38.0,215601.0
Kheri,128.0,10.0,38.0,1.0,177.0,219.0
Kushi Nagar,14.0,3.0,6.0,23.0,26.0,
Lalitpur,31296.0,24477.0,63.0,55836.0,143298.0,83118.0
Lucknow,334.0,12.0,122.0,1.0,469.0,5.58
Mahoba,41544.0,32386.0,11.0,73941.0,76095.0,53769.0
Mainpuri,105.0,9.0,20.0,134.0,1.05,
Mathura,143.0,18.0,30.0,1.0,192.0,2.2
Mau,38883.0,34648.0,44.0,73575.0,162784.0,157865.0
Meerut,222.0,12.0,54.0,1.0,289.0,314.0
Mirzapur,94.0,4.0,39.0,137.0,1.74,
Moradabad,165.0,17.0,28.0,1.0,211.0,1.41
Muzaffarnagar,67284.0,55077.0,264.0,122625.0,236014.0,179246.0
Pratapgarh,86895.0,92726.0,95.0,179716.0,295043.0,274676.0
Prayagraj,96.0,3.0,29.0,128.0,1.78,663330.0
Rae Bareli,401.0,5.0,151.0,4.0,561.0,1.36
Rampur,117.0,6.0,13.0,136.0,1.04,
Saharanpur,120.0,6.0,32.0,2.0,160.0,1.98
Sambhal,11.0,5.0,16.0,22.0,163273.0,102418.0
Sant Kabeer Nagar,9.0,3.0,3.0,15.0,12.0,146290.0
Shahjahanpur,89.0,6.0,15.0,110.0,1.18,
Shamli,49.0,1.0,19.0,69.0,0.94,57569.0
Siddharth Nagar,10.0,1.0,11.0,8.0,,
Sitapur,110.0,7.0,68.0,185.0,1.99,
Sonbhadra,59714.0,56513.0,70.0,116297.0,137335.0,113917.0
Sultanpur,74469.0,72394.0,34.0,146897.0,329168.0,264906.0
Unnao,98.0,12.0,47.0,1.0,158.0,1.82
Varanasi,116250.0,103141.0,211.0,219602.0,411350.0,354576.0
