District,target_no,achievement_no,amount_crore
Agra,293.0,293.0,28.0
Aligarh,862.0,862.0,294.0
Ambedkar Nagar,353.0,310.0,205.0
Amethi,166.0,166.0,70.0
Auraiya,176.0,176.0,45.0
Ayodhya,123.0,122.0,72.0
Azamgarh,69.0,69.0,69.0
Baghpat,165.0,165.0,18.0
Bahraich,176.0,154.0,39.0
Ballia,25.0,15.0,7.0
Balrampur,69.0,69.0,30.0
Banda,8.0,8.0,1.0
Bareilly,282.0,237.0,32.0
Basti,36.0,36.0,26.0
Bijnor,683.0,678.0,220.0
Budaun,418.0,418.0,143.0
Bulandshahr,793.0,793.0,166.0
Chandauli,116.0,116.0,14.0
Chitrakoot,185.0,185.0,37.0
Etah,303.0,303.0,37.0
Etawah,153.0,153.0,52.0
Farrukhabad,54.0,54.0,13.0
Fatehpur,97.0,97.0,33.0
Firozabad,390.0,386.0,23.0
Gautam Buddha Nagar,2.0,2.0,1.0
Ghaziabad,28.0,28.0,2.0
Ghazipur,188.0,188.0,56.0
Gonda,97.0,97.0,18.0
Gorakhpur,15.0,15.0,9.0
Hapur,54.0,54.0,28.0
Hardoi,95.0,95.0,43.0
Jalaun,0.0,0.0,0.0
Jaunpur,79.0,79.0,44.0
Jhansi,7.0,7.0,2.0
Kannauj,76.0,76.0,18.0
Kanpur Dehat,40.0,40.0,23.0
Kanpur Nagar,300.0,295.0,124.0
Kaushambi,70.0,70.0,40.0
Kheri,158.0,158.0,17.0
Kushi Nagar,71.0,71.0,18.0
Lalitpur,106.0,106.0,19.0
Lucknow,138.0,138.0,69.0
Mahoba,433.0,433.0,67.0
Mainpuri,330.0,330.0,74.0
Mau,29.0,29.0,22.0
Meerut,501.0,501.0,118.0
Mirzapur,406.0,406.0,54.0
Moradabad,706.0,702.0,137.0
Muzaffarnagar,28.0,28.0,8.0
Pilibhit,202.0,199.0,45.0
Pratapgarh,170.0,101.0,48.0
Prayagraj,173.0,166.0,119.0
Rae Bareli,246.0,246.0,62.0
Rampur,190.0,190.0,20.0
Saharanpur,79.0,79.0,31.0
Sambhal,5922.34,5395.39,91.1
Sant Kabeer Nagar,4792.44,1924.93,40.17
Shahjahanpur,149.0,149.0,14.0
Shamli,48.0,48.0,6.0
Shravasti,19.0,19.0,19.0
Siddharth Nagar,10.0,10.0,6.0
Sitapur,217.0,217.0,68.0
Sonbhadra,351.0,351.0,57.0
Sultanpur,0.0,0.0,0.0
Unnao,12068.47,5313.75,44.03
Varanasi,64.0,64.0,64.0
