District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18
Agra,32750.0,33739.0,103.0,130349.0
Aligarh,19850.0,41422.0,209.0,129421.0
Amethi,10210.0,20666.0,202.0,74715.0
Amroha,13750.0,14319.0,104.0,59955.0
Auraiya,6650.0,4968.0,75.0,25534.0
Ayodhya,15570.0,33090.0,213.0,124796.0
Baghpat,8730.0,9079.0,104.0,29694.0
Ballia,14900.0,17623.0,118.0,74959.0
Balrampur,9730.0,13851.0,142.0,52824.0
Bareilly,25600.0,33108.0,129.0,134031.0
Bhadohi,7420.0,11037.0,149.0,37035.0
Bijnor,18860.0,21184.0,112.0,86859.0
Budaun,11900.0,17846.0,150.0,70332.0
Bulandshahr,16100.0,26098.0,162.0,76402.0
Chandauli,10800.0,11236.0,104.0,48887.0
Etah,8330.0,16856.0,202.0,55251.0
Firozabad,10350.0,13619.0,132.0,53369.0
Gautam Buddha Nagar,31220.0,25930.0,83.0,116022.0
Ghaziabad,31450.0,24659.0,78.0,102422.0
Ghazipur,18440.0,22886.0,124.0,92677.0
Gorakhpur,27190.0,31640.0,116.0,132386.0
Hamirpur,7140.0,10396.0,146.0,48615.0
Hardoi,16380.0,32523.0,199.0,107013.0
Hathras,8920.0,11988.0,134.0,40954.0
Jaunpur,22500.0,34923.0,155.0,129926.0
Kannauj,8350.0,13618.0,163.0,54049.0
Kanpur Nagar,41470.0,40689.0,98.0,172082.0
Kheri,18050.0,46893.0,260.0,125855.0
Lucknow,61380.0,46207.0,75.0,201084.0
Maharajganj,10360.0,17100.0,165.0,68475.0
Mahoba,3640.0,5256.0,144.0,32965.0
Mathura,18160.0,14094.0,78.0,54934.0
Mau,10530.0,10303.0,98.0,47025.0
Meerut,28700.0,28196.0,98.0,102274.0
Mirzapur,12420.0,16971.0,137.0,65110.0
Moradabad,22820.0,25342.0,111.0,103196.0
Muzaffarnagar,18950.0,23657.0,125.0,75003.0
Pratapgarh,16260.0,33378.0,205.0,117519.0
Prayagraj,33880.0,41211.0,122.0,188783.0
Rae Bareli,20400.0,31089.0,152.0,136606.0
Saharanpur,19030.0,27563.0,145.0,93361.0
Sambhal,8820.0,10888.0,123.0,48297.0
Sant Kabeer Nagar,8540.0,10061.0,118.0,48167.0
Shahjahanpur,15240.0,21632.0,142.0,98234.0
Shravasti,4760.0,4848.0,102.0,19006.0
Sonbhadra,10030.0,10889.0,109.0,46368.0
Varanasi,31410.0,27203.0,87.0,124703.0
