District,target_no,achievement_no,amount_crore
Agra,6185.0,6185.0,2305.0
Aligarh,20444.0,20444.0,4293.0
Ambedkar Nagar,1401.0,1331.0,865.0
Amethi,2397.0,2397.0,687.0
Auraiya,88.0,88.0,63.0
Ayodhya,4511.0,4448.0,1907.0
Baghpat,2489.0,2485.0,938.0
Ballia,321.0,321.0,214.0
Banda,1114.0,1114.0,144.0
Barabanki,687.0,687.0,187.0
Basti,1045.0,986.0,230.0
Bijnor,2775.0,2475.0,1026.0
Budaun,1664.0,1664.0,1156.0
Chandauli,728.0,728.0,187.0
Fatehpur,2081.0,2073.0,1044.0
Firozabad,249.0,249.0,6.0
Gautam Buddha Nagar,822.0,820.0,191.0
Ghaziabad,1502.0,1502.0,425.0
Ghazipur,1424.0,1424.0,409.0
Gonda,2733.0,2713.0,791.0
Gorakhpur,1741.0,1741.0,773.0
Hamirpur,222.0,222.0,143.0
Hapur,840.0,837.0,389.0
Jhansi,565.0,488.0,186.0
Kanpur Nagar,4748.0,4452.0,1859.0
Kheri,2022.0,2022.0,295.0
Kushi Nagar,174.0,174.0,35.0
Lalitpur,689.0,689.0,195.0
Lucknow,2839.0,2720.0,1094.0
Mainpuri,1128.0,1128.0,336.0
Mathura,3830.0,3266.0,568.0
Mau,83.0,83.0,60.0
Meerut,6510.0,6405.0,2303.0
Moradabad,1305.0,1304.0,693.0
Pilibhit,15005.0,15005.0,5160.0
Prayagraj,2579.0,1195.0,687.0
Rae Bareli,5038.0,5038.0,1415.0
Rampur,2975.0,2975.0,528.0
Saharanpur,4227.0,4227.0,2056.0
Sambhal,1392.0,1376.0,503.0
Shahjahanpur,2981.0,2981.0,1738.0
Siddharth Nagar,314.0,314.0,226.0
Sitapur,676.0,676.0,149.0
Sonbhadra,1945.0,1945.0,341.0
Sultanpur,630.0,630.0,466.0
Unnao,5542.0,5542.0,2230.0
Varanasi,198.0,197.0,193.0
