district,cd_ratio,no_of_brs,total_deposit,total_advance
Dhalai,87,47,124561.23,107903.17
Gomati,64,64,214176.21,137419.59
Khowai,60,40,150601.03,90598.05
North Tripura,58,47,176670.39,102607.02
Sepahijala,65,61,199376.49,130181.25
South Tripura,59,60,217251.99,127397.56
Unakoti,63,34,116373.76,73453.65
West Tripura,48,197,1972750.52,937255.01
