district,no_bank_branch_within_a_radius_of_5_kms,total_no_of_villages_5000_identified_as_unbanked_and_allocated_to_different_banks,villages_having_bank_branch_within_a_radius_of_5_kms
Alipurduar,11.0,25.0,14.0
Bankura,8.0,11.0,3.0
Birbhum,4.0,27.0,23.0
Cooch Behar,64.0,64.0,0.0
Dakshin Dinajpur,2.0,6.0,4.0
Darjeeling,27.0,27.0,0.0
Hooghly,18.0,72.0,54.0
Howrah,4.0,46.0,42.0
Jalpaiguri,46.0,46.0,0.0
Malda,13.0,41.0,28.0
Murshidabad,63.0,88.0,25.0
Nadia,25.0,47.0,22.0
North 24 Parganas,2.0,37.0,35.0
Paschim Medinipur,4.0,22.0,18.0
Purba Bardhaman,0.0,3.0,3.0
Purba Medinipur,6.0,53.0,47.0
Purulia,7.0,14.0,7.0
South 24 Parganas,40.0,40.0,0.0
Uttar Dinajpur,15.0,48.0,33.0
