district,cd_ratio,cd_ratio_march_2016_amount_in_rs_crore,variation_over_june_2015
Alipurduar,30.0,3377.51,7.0
Bankura,27.0,7232.04,9.0
Birbhum,35.0,8649.57,5.0
Cooch Behar,55.0,4868.64,12.0
Dakshin Dinajpur,56.0,2572.39,0.0
Darjeeling,55.0,11236.39,1.0
Hooghly,21.0,29242.79,6.0
Howrah,68.0,20436.72,-35.0
Jalpaiguri,40.0,5194.33,2.0
Kolkata,91.0,268961.84,0.0
Malda,46.0,6616.33,5.0
Murshidabad,47.0,9830.57,3.0
Nadia,52.0,17310.25,-10.0
Paschim Medinipur,40.0,16838.2,3.0
Purba Bardhaman,37.0,43036.56,2.0
Purba Medinipur,48.0,14849.02,-1.0
Purulia,43.0,6644.15,-2.0
Uttar Dinajpur,56.0,3836.49,1.0
