district,aadhaar_card_seeded,female,male,rupaycard_account,rural,total,total_amount_amt_rs_in_crore,urban,zero_balance_account
Alipurduar,10443.0,27706.0,25145.0,52279.0,34356.0,52851.0,14.65,18495.0,11090.0
Bankura,210032.0,470678.0,481449.0,592276.0,830066.0,952127.0,200.46,122061.0,210601.0
Birbhum,299793.0,389658.0,542167.0,668555.0,697068.0,931825.0,170.66,234757.0,223151.0
Dakshin Dinajpur,139209.0,239124.0,244409.0,333410.0,429327.0,483533.0,67.75,54206.0,125770.0
Jalpaiguri,327678.0,477501.0,416468.0,675281.0,493126.0,893969.0,176.76,400843.0,219064.0
Kolkata,298912.0,306272.0,399514.0,584830.0,12162.0,705786.0,517.65,693624.0,116724.0
Malda,331230.0,598661.0,544198.0,709681.0,1061140.0,1142859.0,223.7,81719.0,280653.0
Murshidabad,588591.0,747877.0,730591.0,978871.0,973350.0,1478468.0,317.69,505118.0,367606.0
Nadia,356015.0,636770.0,657500.0,921118.0,818697.0,1294270.0,327.14,475573.0,283283.0
Paschim Medinipur,324793.0,533817.0,587495.0,795537.0,900285.0,1121312.0,300.26,221027.0,151549.0
Purba Bardhaman,394578.0,519368.0,675550.0,889884.0,793237.0,1194918.0,342.22,401681.0,242047.0
Purba Medinipur,229612.0,477882.0,516775.0,727485.0,843884.0,994657.0,247.91,150773.0,143835.0
Uttar Dinajpur,216992.0,537877.0,544577.0,680114.0,849711.0,1082454.0,103.56,232743.0,335686.0
