district,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_6,no_of_persons_participated_in_literacy_camps_during_the_quarter_478,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_284,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_64,sl_no_1
Bankura,8.0,121.0,160.0,16.0,8.0
Birbhum,,,,,14.0
Cooch Behar,21.0,1144.0,1054.0,47.0,35.0
Dakshin Dinajpur,5.0,65.0,32.0,8.0,6.0
Darjeeling,12.0,1247.0,744.0,184.0,22.0
Hooghly,10.0,214.0,84.0,134.0,12.0
Howrah,12.0,464.0,264.0,134.0,10.0
Jalpaiguri,26.0,2647.0,1120.0,470.0,20.0
Malda,4.0,175.0,111.0,40.0,30.0
Murshidabad,10.0,440.0,315.0,50.0,38.0
Nadia,6.0,146.0,84.0,40.0,9.0
Purba Bardhaman,5.0,754.0,914.0,42.0,13.0
Purulia,5.0,184.0,113.0,31.0,23.0
Uttar Dinajpur,4.0,202.0,132.0,20.0,4.0
