district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_persons_participated,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_litewracy_material_of_rbi_in_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp
Alipurduar,28.0,1234.0,49.0,27.0,718.0,269.0
Bankura,123.0,1347.0,237.0,94.0,968.0,341.0
Birbhum,37.0,2254.0,210.0,56.0,1784.0,244.0
Cooch Behar,224.0,9264.0,141.0,127.0,7229.0,869.0
Dakshin Dinajpur,76.0,1265.0,79.0,67.0,876.0,256.0
Darjeeling,86.0,2647.0,65.0,36.0,1687.0,867.0
Hooghly,96.0,3651.0,198.0,94.0,2674.0,731.0
Howrah,127.0,5411.0,189.0,129.0,4381.0,467.0
Jalpaiguri,13.0,1952.0,18.0,14.0,1259.0,481.0
Malda,34.0,1647.0,178.0,24.0,1164.0,424.0
Murshidabad,538.0,16983.0,264.0,254.0,12986.0,1462.0
Nadia,82.0,1847.0,214.0,126.0,1067.0,487.0
Paschim Medinipur,388.0,12451.0,283.0,278.0,9684.0,2164.0
Purba Bardhaman,8.0,1106.0,364.0,17.0,1011.0,57.0
Purba Medinipur,138.0,17484.0,293.0,94.0,2064.0,586.0
Purulia,117.0,4256.0,121.0,86.0,3045.0,1014.0
Uttar Dinajpur,49.0,874.0,103.0,48.0,623.0,205.0
