district,achievement_as_on_march_2016_no,achievement_no,amt,amt_rs_in_lac,target_for_2015_16_no
Alipurduar,3142.0,153.0,155.0,3493.44,2052.0
Bankura,13745.0,130.0,108.0,12529.99,10545.0
Birbhum,11303.0,89.0,129.0,17933.92,12667.0
Cooch Behar,11886.0,106.0,87.0,10674.37,11179.0
Dakshin Dinajpur,5062.0,101.0,96.0,5248.26,4990.0
Darjeeling,1484.0,65.0,71.0,1769.91,2278.0
Hooghly,16002.0,126.0,124.0,13171.85,12707.0
Howrah,6804.0,116.0,129.0,8328.86,5862.0
Jalpaiguri,4470.0,93.0,95.0,5014.56,4800.0
Malda,10998.0,178.0,141.0,9636.99,6196.0
Murshidabad,22358.0,194.0,177.0,22355.77,11500.0
Nadia,14151.0,106.0,72.0,10604.32,13300.0
North 24 Parganas,8822.0,55.0,57.0,9951.35,16000.0
Paschim Medinipur,8544.0,71.0,62.0,8193.54,12039.0
Purba Bardhaman,8324.0,85.0,131.0,14227.6,9846.0
Purba Medinipur,21414.0,134.0,146.0,25627.7,15999.0
Purulia,6939.0,105.0,88.0,6402.24,6619.0
South 24 Parganas,14756.0,120.0,89.0,12102.29,12293.0
Uttar Dinajpur,8567.0,157.0,147.0,8806.12,5443.0
