district,disbursement,no_of_cases,pending_with_bank_for_disbursement,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_released,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs
Alipurduar,3296.0,8042.0,469.0,2506.17,3801.0,10538.46
Bankura,10313.0,27497.0,856.0,7713.66,11916.0,31177.2
Birbhum,14041.0,35929.0,511.0,9990.43,15323.0,40372.42
Cooch Behar,9873.0,23523.0,454.0,5064.43,10498.0,20679.65
Dakshin Dinajpur,9206.0,18265.0,210.0,4250.43,10034.0,22243.89
Darjeeling,2472.0,9012.0,102.0,1567.13,2834.0,6298.89
Hooghly,13022.0,34549.0,252.0,9159.0,13672.0,34691.93
Howrah,10324.0,32925.0,539.0,4737.14,11373.0,19987.35
Jalpaiguri,7411.0,15025.0,771.0,5664.35,8924.0,30008.88
Kolkata,7686.0,21640.0,179.0,3898.38,9252.0,14478.96
Malda,11788.0,53444.0,376.0,6584.34,12752.0,33147.38
Murshidabad,16068.0,36701.0,823.0,9979.79,17820.0,44161.1
Nadia,11948.0,34762.0,261.0,7155.68,12801.0,30278.38
Paschim Medinipur,12399.0,41097.0,188.0,10923.81,13056.0,50661.17
Purba Medinipur,13385.0,24408.0,377.0,8073.45,14380.0,27919.01
Purulia,6592.0,20997.0,585.0,5169.68,7443.0,21923.22
Uttar Dinajpur,7586.0,18460.0,373.0,5044.55,8140.0,20833.3
