District,cd_ratio
Alluri Sitharama Raju,110.0
Anakapalli,157.0
Anantapur,143.0
Annamayya,135.0
Bapatla,171.0
Chittoor,111.0
East Godavari,152.0
Eluru,158.0
Guntur,123.0
Kakinada,125.0
Konaseema,160.0
Krishna,194.0
Kurnool,138.0
Nandyal,171.0
Ntr,189.0
Palnadu,224.0
Parvathipuram Manyam,147.0
Prakasam,179.0
Spsr Nellore,151.0
Sri Sathya Sai,148.0
Srikakulam,129.0
Tirupati,78.0
Visakhapatanam,117.0
Vizianagaram,136.0
West Godavari,173.0
Y.s.r.,143.0
