district,amt,average_disbursement_in_lakh,of_achievement_no,target_fy_2025_26_no,total_disbursement_no,total_outsanding_no,total_sanction_no
Alipurduar,17.04,1.55,33.0,25454.0,8393.0,24477.0,
Bankura,15.44,1.77,27.0,58226.0,15828.0,61222.0,
Birbhum,25.0,3.22,23.0,63945.0,14882.0,68753.0,
Cooch Behar,15.85,1.52,31.0,53915.0,16845.0,57046.0,
Dakshin Dinajpur,19.79,1.26,47.0,23524.0,11115.0,27579.0,
Darjeeling,31.13,2.3,60.0,5024.0,3007.0,7925.0,
Hooghly,23.84,1.98,55.0,37582.0,20740.0,53032.0,
Howrah,22.87,2.02,34.0,38810.0,13157.0,38960.0,5291.0
Jalpaiguri,17.48,1.79,29.0,33523.0,9815.0,38857.0,
Jhargram,18.55,2.28,24.0,21400.0,5233.0,19826.0,
Kalimpong,36.22,2.66,58.0,2443.0,1411.0,3533.0,567.0
Kolkata,0.0,1.17,,,333.0,3619.0,
Malda,14.82,1.24,36.0,61359.0,21960.0,64187.0,8081.0
Murshidabad,13.66,1.42,32.0,83563.0,26377.0,87116.0,8152.0
Nadia,14.23,1.48,29.0,70285.0,20271.0,66168.0,4556.0
North 24 Parganas,19.65,1.49,39.0,70671.0,27911.0,81862.0,9593.0
Paschim Bardhaman,21.15,2.95,22.0,,2618.0,12485.0,2176.0
Paschim Medinipur,28.77,3.32,32.0,51603.0,16735.0,68544.0,
Purba Bardhaman,22.44,3.0,24.0,63180.0,15125.0,68279.0,7954.0
Purba Medinipur,31.99,3.89,25.0,72818.0,17977.0,82603.0,9525.0
Purulia,12.14,1.45,28.0,37509.0,10668.0,42418.0,3635.0
South 24 Parganas,22.54,1.82,46.0,70019.0,32554.0,89485.0,6969.0
Uttar Dinajpur,24.3,1.34,73.0,29377.0,21397.0,47775.0,4204.0
