district,apy_sourced,apy_subscribed,no_of_nominations_done_in_pmjdy_acc,no_of_nominations_done_other_than_pmjdy_acc,no_of_pmjjby_claim_disbursed,no_of_pmsby_claim_disbursed,no_of_re_kyc_done_for_other_than_pmjdy_acc,no_of_re_kyc_done_for_pmjdy_acc,pmjdy_opened,pmjdy_sourced,pmjjby_enrolled,pmjjby_sourced,pmsby_enrolled,pmsby_sourced
Alipurduar,332.0,317.0,354.0,259.0,1.0,0.0,548.0,599.0,850.0,862.0,1271.0,1288.0,1354.0,1403.0
Bankura,2154.0,2154.0,40.0,38.0,4.0,2.0,608.0,1714.0,827.0,827.0,1456.0,1456.0,5271.0,5271.0
Birbhum,245.0,200.0,169.0,105.0,3.0,1.0,951.0,966.0,908.0,1014.0,542.0,621.0,1134.0,1242.0
Cooch Behar,1360.0,1360.0,244.0,388.0,0.0,0.0,950.0,686.0,751.0,751.0,1457.0,1457.0,2562.0,2562.0
Dakshin Dinajpur,419.0,342.0,1487.0,24.0,6.0,3.0,984.0,1885.0,379.0,567.0,443.0,582.0,1655.0,1927.0
Darjeeling,238.0,238.0,232.0,287.0,0.0,0.0,753.0,939.0,231.0,231.0,778.0,778.0,1258.0,1258.0
Hooghly,88.0,88.0,65.0,220.0,0.0,0.0,234.0,71.0,0.0,0.0,236.0,236.0,327.0,327.0
Howrah,202.0,202.0,675.0,1413.0,0.0,0.0,811.0,840.0,652.0,652.0,728.0,728.0,1067.0,1067.0
Jalpaiguri,1674.0,1665.0,789.0,1539.0,3.0,0.0,1038.0,1342.0,1675.0,1710.0,3290.0,3308.0,5696.0,5721.0
Jhargram,94.0,68.0,47.0,31.0,0.0,0.0,63.0,380.0,295.0,355.0,152.0,187.0,415.0,476.0
Kalimpong,25.0,25.0,8.0,7.0,0.0,0.0,60.0,51.0,18.0,18.0,131.0,131.0,168.0,168.0
Malda,464.0,341.0,2.0,0.0,0.0,0.0,216.0,165.0,827.0,1092.0,419.0,514.0,854.0,1036.0
Murshidabad,362.0,362.0,448.0,235.0,16.0,18.0,235.0,448.0,1675.0,1675.0,358.0,358.0,1262.0,1262.0
Nadia,7002.0,6998.0,4056.0,4015.0,9.0,5.0,5769.0,8041.0,11780.0,11782.0,9443.0,9446.0,22651.0,22653.0
North 24 Parganas,1026.0,1025.0,210.0,33.0,1.0,0.0,193.0,742.0,2686.0,2716.0,3622.0,3678.0,5523.0,5589.0
Paschim Bardhaman,480.0,381.0,147.0,75.0,3.0,1.0,2288.0,1358.0,1404.0,1675.0,1237.0,1372.0,2041.0,2144.0
Paschim Medinipur,353.0,209.0,103.0,88.0,2.0,0.0,548.0,603.0,263.0,466.0,446.0,684.0,867.0,1310.0
Purba Bardhaman,921.0,734.0,309.0,236.0,5.0,3.0,2175.0,1052.0,3355.0,4156.0,1283.0,1807.0,3191.0,3838.0
Purba Medinipur,949.0,838.0,582.0,593.0,11.0,0.0,2615.0,4888.0,951.0,1099.0,1337.0,1506.0,3294.0,3759.0
Purulia,1788.0,1496.0,114.0,107.0,0.0,0.0,4278.0,1035.0,5507.0,6104.0,3336.0,3997.0,10130.0,11482.0
South 24 Parganas,3774.0,2740.0,3012.0,1239.0,3.0,3.0,2290.0,7917.0,10321.0,14152.0,7450.0,10155.0,12319.0,20042.0
Uttar Dinajpur,148.0,148.0,15.0,39.0,0.0,0.0,79.0,74.0,376.0,376.0,174.0,176.0,452.0,452.0
