district,aadhaar_seeded_4222009,female_a_c_2768521,male_a_c_2030800,rupaycard_issued_3341398,rural_a_c_2834846,sr_no_1,total_a_c_4799321,total_deposit_2415_17,total_enrolment_uner_social_security_schemes_49_88_793,total_no_of_apy_5_35_428,total_no_of_pmjjby_12_00_599,total_no_of_pmsby_32_52_766,total_no_pmjdy_a_c_47_99_321,urban_a_c_1964475,zero_balance_account_253868
Alipurduar,733607.0,475407.0,349989.0,648778.0,601962.0,3.0,825396.0,414.36,795458.0,74924.0,225815.0,494719.0,825396.0,223434.0,46693.0
Bankura,2107472.0,1341505.0,1074227.0,1397862.0,2057075.0,4.0,2415732.0,1400.82,2222661.0,236678.0,530261.0,1455722.0,2415732.0,358657.0,135473.0
Birbhum,2175651.0,1413969.0,1057980.0,1485286.0,1988975.0,5.0,2471949.0,1170.53,2652615.0,282630.0,754157.0,1615828.0,2471949.0,482974.0,84571.0
Cooch Behar,1562614.0,994169.0,775422.0,1367725.0,1281104.0,6.0,1769591.0,600.79,1865026.0,230234.0,475541.0,1159251.0,1769591.0,488487.0,104905.0
Dakshin Dinajpur,,,,,,8.0,,,1146581.0,120751.0,305375.0,720455.0,1284049.0,,
Darjeeling,577153.0,385987.0,268610.0,518179.0,306334.0,7.0,654597.0,418.79,1342587.0,122479.0,396719.0,823389.0,654597.0,348263.0,43988.0
Hooghly,2310820.0,1527388.0,1041985.0,1650705.0,1758115.0,10.0,2569373.0,1441.66,3116057.0,376076.0,774619.0,1965362.0,2569373.0,811258.0,109741.0
Howrah,1965112.0,1287430.0,908138.0,1485254.0,1441200.0,11.0,2195568.0,1153.18,2425142.0,273641.0,595784.0,1555717.0,2195568.0,754368.0,78254.0
Jalpaiguri,1298011.0,839288.0,613451.0,1081584.0,908706.0,12.0,1452739.0,641.65,1857174.0,219103.0,508081.0,1129990.0,1452739.0,544033.0,94536.0
Jhargram,418453.0,280076.0,220304.0,274090.0,465607.0,13.0,500380.0,311.15,571897.0,49521.0,144340.0,378036.0,500380.0,34773.0,21249.0
Kalimpong,50305.0,32014.0,24786.0,44808.0,35583.0,14.0,56800.0,29.47,86413.0,7393.0,25969.0,53051.0,56800.0,21217.0,3222.0
Kolkata,851441.0,571887.0,444102.0,787748.0,8686.0,15.0,1015989.0,457.16,2897010.0,241005.0,610473.0,2045532.0,1015989.0,1007303.0,104188.0
Malda,3220302.0,2069410.0,1557542.0,2033516.0,3137346.0,16.0,3626952.0,1381.18,2685657.0,343019.0,696579.0,1646059.0,3626952.0,489606.0,305025.0
Murshidabad,4377137.0,2804201.0,2187034.0,3501844.0,3720152.0,19.0,4991235.0,1771.72,4710914.0,576387.0,1182459.0,2952068.0,4991235.0,1271083.0,338787.0
Nadia,2856298.0,1908106.0,1423369.0,2206088.0,2239405.0,20.0,3331475.0,1495.63,3094674.0,352133.0,748311.0,1994230.0,3331475.0,1092070.0,215022.0
Paschim Bardhaman,1335430.0,1011077.0,536991.0,804211.0,862023.0,21.0,1548068.0,619.05,1908613.0,82485.0,495990.0,1330138.0,1548068.0,686045.0,76432.0
Paschim Medinipur,,,,,,18.0,,,2689644.0,331421.0,635283.0,1722940.0,2791469.0,,
Purba Bardhaman,2116955.0,1427250.0,980019.0,1785247.0,1839640.0,22.0,2407269.0,1097.59,2395160.0,362995.0,683624.0,1348541.0,2407269.0,567629.0,83059.0
Purba Medinipur,,,,,,17.0,,,2901682.0,433630.0,669995.0,1798057.0,2713795.0,,
Purulia,1916393.0,1196300.0,974445.0,1318297.0,1797823.0,23.0,2170745.0,1320.83,1593914.0,171940.0,399818.0,1022156.0,2170745.0,372922.0,129333.0
Uttar Dinajpur,,,,,,9.0,,,1738191.0,198312.0,449014.0,1090865.0,2885622.0,,
