district,disbursed_no_s,pending_no_s,rejected_no_s,sanctioned_no_s,total_application_submitted_no_s
Alipurduar,2.0,4.0,3.0,2.0,9.0
Bankura,3.0,33.0,34.0,5.0,72.0
Birbhum,3.0,5.0,4.0,3.0,12.0
Cooch Behar,1.0,4.0,12.0,5.0,21.0
Dakshin Dinajpur,4.0,17.0,50.0,6.0,
Darjeeling,7.0,3.0,3.0,7.0,13.0
Hooghly,21.0,12.0,41.0,28.0,81.0
Howrah,13.0,36.0,14.0,20.0,70.0
Jalpaiguri,3.0,5.0,18.0,4.0,27.0
Jhargram,4.0,11.0,19.0,5.0,35.0
Kalimpong,2.0,2.0,9.0,2.0,13.0
Kolkata,3.0,8.0,3.0,6.0,17.0
Malda,6.0,9.0,13.0,9.0,31.0
Murshidabad,9.0,50.0,60.0,17.0,
Nadia,7.0,15.0,62.0,11.0,88.0
North 24 Parganas,13.0,18.0,12.0,17.0,
Paschim Bardhaman,,1.0,1.0,1.0,3.0
Paschim Medinipur,7.0,17.0,13.0,9.0,
Purba Bardhaman,9.0,16.0,38.0,13.0,
Purba Medinipur,29.0,44.0,25.0,35.0,
Purulia,9.0,5.0,53.0,11.0,69.0
South 24 Parganas,15.0,159.0,611.0,24.0,
Uttar Dinajpur,1.0,1.0,4.0,1.0,6.0
