district,disbursement_amt,kishor_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,tarun_plus_no_of_a_cs,total_no_of_a_cs
Alipurduar,126.67,7495.0,126.88,5443.0,269.0,1.0,13208.0
Bankura,119.36,3845.0,120.07,5947.0,542.0,6.0,10340.0
Birbhum,213.23,10571.0,215.91,11384.0,571.0,3.0,22529.0
Cooch Behar,230.13,12655.0,232.18,7384.0,640.0,6.0,20685.0
Dakshin Dinajpur,99.54,5282.0,100.42,4451.0,257.0,1.0,9991.0
Howrah,364.44,20544.0,369.03,12522.0,785.0,25.0,33876.0
Jalpaiguri,215.1,10338.0,218.07,8802.0,746.0,5.0,19891.0
Jhargram,38.49,1007.0,38.69,1267.0,240.0,1.0,2515.0
Kalimpong,16.13,597.0,16.37,248.0,63.0,0.0,908.0
Kolkata,632.16,21844.0,650.95,19160.0,3348.0,75.0,44427.0
Malda,277.64,16210.0,278.52,11396.0,560.0,3.0,28169.0
Murshidabad,567.48,32625.0,569.58,21880.0,1352.0,10.0,55867.0
Nadia,373.42,18015.0,375.45,14030.0,1163.0,4.0,33212.0
North 24 Parganas,622.81,30067.0,628.22,20963.0,2112.0,21.0,53163.0
Paschim Medinipur,287.29,9843.0,289.44,9332.0,1482.0,10.0,20667.0
Purba Medinipur,360.64,15807.0,363.23,10991.0,1616.0,6.0,28420.0
South 24 Parganas,439.22,22150.0,443.81,20367.0,1330.0,14.0,43861.0
Uttar Dinajpur,194.34,10581.0,195.76,6408.0,548.0,4.0,17541.0
