district,31_03_2024,31_03_2025,disbursement_during_fy_during_fy_2022_23,during_fy_2023_24,during_fy_2024_25,outstanding_as_on_31_03_2023
Alipurduar,65151.0,81871.0,31573.0,26435.0,44204.0,94402.5
Bankura,198842.0,191032.0,169126.0,120035.0,129362.0,174432.0
Birbhum,244111.0,238156.0,89665.0,118294.0,142673.0,245080.0
Cooch Behar,170478.0,179136.0,154180.0,80545.0,84459.0,162231.0
Dakshin Dinajpur,99754.0,143538.0,84311.0,51629.0,71052.0,107952.0
Darjeeling,22170.0,31122.0,11395.0,15592.0,31380.0,24509.7
Hooghly,316589.0,324869.0,304544.0,271942.0,314592.0,329980.0
Howrah,68078.0,78179.0,39460.0,56083.0,66863.0,86541.2
Jalpaiguri,110218.0,75597.0,44124.0,51369.0,59869.0,96899.9
Jhargram,119389.0,102141.0,31725.0,67437.0,80501.0,72664.2
Kalimpong,13429.0,22064.0,3183.0,10020.0,22421.0,8610.13
Kolkata,1587.0,2820.0,1015.0,1197.0,1460.0,436.905
Malda,136389.0,134952.0,62769.0,129634.0,153282.0,144897.0
Murshidabad,210027.0,225899.0,62385.0,64846.0,140170.0,162166.0
Nadia,272055.0,293382.0,87548.0,125385.0,187802.0,214802.0
North 24 Parganas,268876.0,272074.0,154532.0,176485.0,192866.0,323377.0
Paschim Bardhaman,92696.0,101426.0,14136.0,66702.0,100312.0,14713.8
Paschim Medinipur,317981.0,349181.0,291083.0,253359.0,283242.0,380758.0
Purba Bardhaman,264391.0,334360.0,313123.0,139972.0,178261.0,458845.0
Purba Medinipur,430227.0,463951.0,547833.0,421639.0,551372.0,593003.0
Purulia,106247.0,100718.0,29036.0,33303.0,54251.0,116348.0
South 24 Parganas,170084.0,202275.0,158499.0,159168.0,191856.0,273008.0
Uttar Dinajpur,205762.0,161824.0,43759.0,51131.0,57123.0,246008.0
