district,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2025
Alipurduar,61.62,63.82
Bankura,55.01,57.0
Birbhum,50.37,45.73
Cooch Behar,78.64,105.04
Dakshin Dinajpur,62.71,69.17
Darjeeling,67.58,68.73
Hooghly,44.0,47.18
Howrah,49.43,50.22
Jalpaiguri,75.52,77.25
Jhargram,45.57,46.18
Kalimpong,60.81,51.01
Kolkata,103.17,92.54
Malda,59.06,60.36
Murshidabad,57.33,59.32
Nadia,50.97,51.15
North 24 Parganas,45.28,47.1
Paschim Bardhaman,52.83,58.51
Paschim Medinipur,48.47,50.73
Purba Bardhaman,56.04,55.15
Purba Medinipur,52.76,57.56
Purulia,50.26,49.24
South 24 Parganas,45.54,44.75
Uttar Dinajpur,68.85,71.0
