district,advance,cd_ratio,cd_ratio_as_on_june_2024,cd_ratio_as_on_june_2025_deposit
Alipurduar,5505.51,63.82,61.62,8626.58
Bankura,12163.33,57.0,55.01,21340.43
Birbhum,10414.01,45.73,50.37,22774.45
Cooch Behar,17461.13,105.04,78.64,16623.99
Dakshin Dinajpur,4533.43,69.17,62.71,6553.57
Darjeeling,19534.2,68.73,67.58,28422.26
Hooghly,27005.92,47.18,44.0,57241.65
Howrah,29917.08,50.22,49.43,59573.65
Jalpaiguri,10677.42,77.25,75.52,13821.06
Jhargram,2522.4,46.18,45.57,5462.28
Kalimpong,1141.58,51.01,60.81,2237.95
Kolkata,444668.1,92.54,103.17,480519.97
Malda,11137.59,60.36,59.06,18450.8
Murshidabad,18425.78,59.32,57.33,31059.3
Nadia,18140.0,51.15,50.97,35463.0
North 24 Parganas,93018.64,47.1,45.28,197496.79
Paschim Bardhaman,35580.19,58.51,52.83,60811.78
Paschim Medinipur,19249.17,50.73,48.47,37946.52
Purba Bardhaman,21702.05,55.15,56.04,39348.21
Purba Medinipur,25865.57,57.56,52.76,44934.18
Purulia,1994.0,49.24,50.26,3994.0
South 24 Parganas,21074.06,44.75,45.54,47093.15
Uttar Dinajpur,7422.0,71.0,68.85,10453.0
