district,camps_by_rural_branches_no_of_total_rural_branches,fy_2022_23_no_of_flc_camps_conducted,fy_2023_24_no_of_flc_camps_conducted,fy_2024_25_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_camps_conducted,no_of_flcs,no_of_flcs_in_district,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,189.0,702.0,2064.0,46055.0,618.0,1.0,1.0,4496.0,6.0,504.0,15.0
Birbhum,212.0,310.0,322.0,141.0,4546.0,716.0,1.0,1.0,709.0,6.0,636.0,15.0
Cooch Behar,136.0,135.0,149.0,356.0,14530.0,436.0,2.0,2.0,3313.0,12.0,408.0,30.0
Dakshin Dinajpur,73.0,,,,,134.0,2.0,,14511.0,12.0,219.0,30.0
Darjeeling,78.0,69.0,102.0,56.0,1710.0,328.0,2.0,2.0,57.0,12.0,234.0,30.0
Hooghly,237.0,169.0,151.0,2027.0,75686.0,850.0,1.0,1.0,450.0,6.0,711.0,15.0
Howrah,115.0,259.0,319.0,148.0,7229.0,45.0,2.0,2.0,1865.0,12.0,345.0,30.0
Jalpaiguri,79.0,39.0,110.0,125.0,2454.0,244.0,1.0,1.0,347.0,6.0,237.0,15.0
Jhargram,83.0,56.0,48.0,963.0,24957.0,270.0,1.0,1.0,437.0,6.0,249.0,15.0
Kalimpong,13.0,5.0,41.0,37.0,2357.0,44.0,1.0,1.0,422.0,6.0,39.0,15.0
Kolkata,0.0,40.0,84.0,85.0,1599.0,0.0,1.0,1.0,82.0,6.0,0.0,15.0
Malda,189.0,38.0,42.0,1248.0,76195.0,210.0,2.0,2.0,70.0,12.0,567.0,30.0
Murshidabad,339.0,62.0,85.0,95.0,3993.0,3876.0,2.0,2.0,3803.0,12.0,1017.0,30.0
Nadia,195.0,101.0,94.0,124.0,6782.0,719.0,1.0,1.0,18888.0,6.0,585.0,15.0
Paschim Bardhaman,102.0,41.0,133.0,396.0,28127.0,248.0,1.0,1.0,3713.0,6.0,306.0,15.0
Paschim Medinipur,250.0,50.0,40.0,44.0,1672.0,261.0,1.0,1.0,202.0,6.0,750.0,15.0
Purba Bardhaman,329.0,43.0,116.0,252.0,12232.0,1089.0,1.0,1.0,1382.0,6.0,987.0,15.0
Purba Medinipur,252.0,36.0,58.0,256.0,24052.0,634.0,2.0,2.0,16379.0,12.0,756.0,30.0
Purulia,129.0,74.0,86.0,1151.0,31431.0,275.0,1.0,1.0,284.0,6.0,387.0,15.0
Uttar Dinajpur,103.0,104.0,788.0,1270.0,59130.0,456.0,1.0,1.0,25151.0,6.0,309.0,15.0
