district,loan_amount_rs_crore,nos,project_cost_rs_crore,sn
Bankura,7.8,3.0,10.95,7.0
Birbhum,15.0,1.0,21.82,13.0
Howrah,3.5,1.0,4.83,14.0
Jalpaiguri,18.34,2.0,37.6,8.0
Jhargram,0.23,1.0,0.59,15.0
North 24 Parganas,43.0,1.0,57.31,12.0
Paschim Medinipur,65.0,1.0,94.6,11.0
Purulia,1.3,1.0,2.05,10.0
Uttar Dinajpur,34.6,5.0,56.16,2.0
