district,31_03_2024,31_03_2025,average_ticket_size_31_03_2023,outstanding_as_on_31_03_2023
Alipurduar,2.7,3.08,2.23,21514.0
Bankura,1.85,2.16,1.7,52571.0
Birbhum,2.11,2.41,1.9,64029.0
Cooch Behar,3.1,3.5,2.52,52533.0
Dakshin Dinajpur,1.91,2.26,1.64,24016.0
Darjeeling,3.06,3.71,2.57,6635.0
Hooghly,2.32,2.75,1.98,44593.0
Howrah,2.29,2.54,2.07,34755.0
Jalpaiguri,2.69,2.84,2.35,46617.0
Jhargram,2.14,2.47,1.75,17067.0
Kalimpong,3.59,4.07,2.9,3165.0
Kolkata,1.26,1.37,1.31,2857.0
Malda,1.98,2.35,1.72,55104.0
Murshidabad,1.77,2.07,1.53,79865.0
Nadia,1.89,2.31,1.57,52553.0
North 24 Parganas,1.95,2.37,1.71,63994.0
Paschim Medinipur,2.58,3.2,2.06,60183.0
Purba Medinipur,3.35,4.02,2.82,75547.0
Purulia,1.44,1.71,1.28,37203.0
South 24 Parganas,2.04,2.38,1.73,77264.0
Uttar Dinajpur,2.08,2.46,1.72,36018.0
