district,31_03_2023,31_03_2024,31_03_2025,Total Advance,Overall CD Ratio,cd_ratio_as_on_june,cd_ratio_as_on_june_2025_deposit
Alipurduar,63.23,54.85,63.43,5505.51,63.82,61.62,8626.58
Bankura,52.4,54.94,57.0,12163.33,57.0,55.01,21340.43
Birbhum,47.59,53.5,53.51,10414.01,45.73,50.37,22774.45
Cooch Behar,79.37,80.39,105.74,17461.13,105.04,78.64,16623.99
Dakshin Dinajpur,62.23,62.42,69.96,4533.43,69.17,62.71,6553.57
Darjeeling,65.19,67.55,68.56,19534.2,68.73,67.58,28422.26
Hooghly,41.9,45.76,47.14,27005.92,47.18,44.0,57241.65
Howrah,49.33,49.14,49.71,29917.08,50.22,49.43,59573.65
Jalpaiguri,68.7,93.16,77.17,10677.42,77.25,75.52,13821.06
Jhargram,42.19,47.39,45.3,2522.4,46.18,45.57,5462.28
Kalimpong,50.54,60.77,50.99,1141.58,51.01,60.81,2237.95
Kolkata,64.15,98.7,103.89,444668.1,92.54,103.17,480519.97
Malda,60.43,58.84,60.43,11137.59,60.36,59.06,18450.8
Murshidabad,52.27,57.06,59.92,18425.78,59.32,57.33,31059.3
Nadia,50.02,50.75,51.08,18140.0,51.15,50.97,35463.0
Paschim Bardhaman,46.31,52.49,54.12,35580.19,58.51,52.83,60811.78
Paschim Medinipur,49.32,51.4,53.8,19249.17,50.73,48.47,37946.52
Purba Bardhaman,51.89,53.5,55.2,21702.05,55.15,56.04,39348.21
Purba Medinipur,47.39,50.82,53.58,25865.57,57.56,52.76,44934.18
Purulia,48.84,49.34,49.24,1994.0,49.24,50.26,3994.0
Uttar Dinajpur,61.17,65.29,69.46,7422.0,71.0,68.85,10453.0
