district,2023_24,2024_25,disbursement_during_the_fy_2022_23
Alipurduar,18697.0,20652.0,18325.0
Bankura,44079.0,46851.0,38089.0
Birbhum,51104.0,55233.0,52963.0
Cooch Behar,47424.0,49992.0,47364.0
Dakshin Dinajpur,21400.0,22036.0,20403.0
Darjeeling,6603.0,7089.0,6020.0
Hooghly,42626.0,46864.0,38016.0
Howrah,30471.0,32825.0,29231.0
Jalpaiguri,40064.0,42807.0,40984.0
Jhargram,14286.0,15836.0,13204.0
Kalimpong,2974.0,3154.0,2753.0
Kolkata,959.0,1544.0,1005.0
Malda,47148.0,52499.0,46429.0
Murshidabad,63347.0,67450.0,67304.0
Nadia,46887.0,51892.0,41273.0
North 24 Parganas,59033.0,67130.0,53514.0
Paschim Medinipur,48057.0,55134.0,48395.0
Purba Medinipur,61068.0,64125.0,61830.0
Purulia,26945.0,30248.0,25458.0
South 24 Parganas,69467.0,75136.0,65841.0
Uttar Dinajpur,32253.0,36978.0,29932.0
