district,achievement,no_of_eligible_operative_ca_a_c,no_of_eligible_operative_sb_a_c,no_of_operative_ca_a_c_covered_with_at_least_one_digital_mode
Alipurduar,96.1,,2070219.0,
Bankura,91.27,,3913731.0,
Birbhum,95.16,,4072236.0,
Cooch Behar,97.74,,3213643.0,
Dakshin Dinajpur,94.51,,2091883.0,
Darjeeling,90.18,,2274010.0,
Hooghly,88.93,146109.0,7214941.0,129935.0
Jalpaiguri,92.81,,3060499.0,
Jhargram,89.21,,1043864.0,
Kalimpong,73.18,5674.0,382462.0,4152.0
Kolkata,88.69,550945.0,9121090.0,488658.0
Malda,92.62,,4936480.0,
Murshidabad,92.97,112428.0,7694348.0,104522.0
North 24 Parganas,88.35,288020.0,12182422.0,254457.0
Paschim Bardhaman,90.86,,3289330.0,
Paschim Medinipur,90.46,,5567847.0,
Purba Bardhaman,91.34,,5035992.0,
Purba Medinipur,84.64,132740.0,4000821.0,112345.0
Purulia,90.22,,3084548.0,
South 24 Parganas,91.13,148944.0,9823326.0,135734.0
Uttar Dinajpur,93.75,,3667812.0,
