district,amt_crore,disbursed_nos,sanctioned_nos,sn,target_nos
Alipurduar,1.16,103.0,106.0,17.0,2016.0
Bankura,2.87,264.0,241.0,6.0,5688.0
Birbhum,20.54,132.0,135.0,15.0,6144.0
Cooch Behar,1.04,73.0,80.0,20.0,4248.0
Darjeeling,3.44,253.0,255.0,5.0,2280.0
Hooghly,5.0,335.0,326.0,4.0,7536.0
Howrah,3.34,137.0,139.0,14.0,4944.0
Jalpaiguri,2.39,80.0,81.0,19.0,2952.0
Jhargram,0.24,35.0,32.0,23.0,2280.0
Kalimpong,1.15,201.0,201.0,9.0,792.0
Kolkata,2.21,72.0,72.0,21.0,0.0
Malda,2.31,93.0,231.0,7.0,4824.0
Murshidabad,2.8,219.0,224.0,8.0,8040.0
Nadia,2.88,137.0,132.0,16.0,6408.0
North 24 Parganas,2.98,189.0,160.0,12.0,7008.0
Paschim Bardhaman,1.11,51.0,48.0,22.0,2856.0
Paschim Medinipur,12.51,438.0,443.0,2.0,7248.0
Purba Bardhaman,6.55,356.0,359.0,3.0,7608.0
Purba Medinipur,23.56,744.0,712.0,1.0,8352.0
Purulia,4.51,154.0,155.0,13.0,3600.0
South 24 Parganas,5.43,169.0,163.0,11.0,9384.0
Uttar Dinajpur,0.8,87.0,89.0,18.0,2712.0
