district,pending_nos,rejected_nos,s_n,sanctioned_nos,sn,total_nos
Alipurduar,0.0,0.0,22.0,0.0,,0.0
Bankura,1.0,2.0,7.0,1.0,,4.0
Birbhum,3.0,6.0,2.0,2.0,7.0,11.0
Cooch Behar,2.0,2.0,6.0,1.0,,5.0
Darjeeling,0.0,0.0,16.0,0.0,,0.0
Hooghly,1.0,1.0,4.0,2.0,8.0,4.0
Howrah,2.0,12.0,3.0,2.0,1.0,4.0
Jalpaiguri,0.0,0.0,21.0,0.0,,0.0
Jhargram,0.0,0.0,23.0,0.0,,0.0
Kalimpong,0.0,0.0,18.0,0.0,,0.0
Kolkata,0.0,0.0,20.0,0.0,,0.0
Malda,0.0,3.0,8.0,1.0,4.0,4.0
Murshidabad,1.0,2.0,10.0,0.0,,3.0
Nadia,0.0,0.0,15.0,0.0,,0.0
North 24 Parganas,11.0,2.0,1.0,3.0,3.0,16.0
Paschim Bardhaman,0.0,1.0,14.0,0.0,,1.0
Paschim Medinipur,0.0,2.0,12.0,0.0,,2.0
Purba Bardhaman,1.0,4.0,5.0,1.0,,6.0
Purba Medinipur,0.0,1.0,11.0,0.0,,1.0
Purulia,0.0,0.0,9.0,1.0,5.0,1.0
South 24 Parganas,0.0,2.0,13.0,0.0,,2.0
Uttar Dinajpur,0.0,0.0,19.0,0.0,,0.0
