district,amount,kcc_disbursement_during_01_04_2025_to_30_06_2025_fresh_renewal_no,kcc_outstanding_as_on_30_06_2025_no,of_achievement_no,target_no
Alipurduar,386.14,6651.0,51343.0,17.28,38500.0
Bankura,926.11,25029.0,193339.0,12.64,198000.0
Birbhum,990.48,25834.0,245378.0,10.76,240000.0
Cooch Behar,1812.92,22625.0,193598.0,11.91,190000.0
Dakshin Dinajpur,606.28,24400.0,86248.0,21.22,115000.0
Darjeeling,358.71,3421.0,83221.0,18.49,18500.0
Hooghly,1611.45,41391.0,326184.0,10.48,395000.0
Howrah,1130.73,13630.0,136381.0,14.35,95000.0
Jalpaiguri,835.44,10590.0,95930.0,26.48,40000.0
Jhargram,541.58,10129.0,70098.0,18.42,55000.0
Kalimpong,90.11,929.0,39716.0,9.29,10000.0
Kolkata,165.47,269.0,3960.0,,0.0
Malda,625.28,28219.0,98493.0,25.65,110000.0
Murshidabad,1180.48,31288.0,188869.0,32.93,95000.0
Nadia,1428.93,29892.0,213252.0,27.17,110000.0
North 24 Parganas,1262.2,37448.0,267131.0,16.28,230000.0
Paschim Bardhaman,706.62,12785.0,166211.0,51.14,25000.0
Paschim Medinipur,1677.53,57814.0,352657.0,23.6,245000.0
Purba Bardhaman,1525.51,51211.0,419130.0,18.29,280000.0
Purba Medinipur,2280.66,302081.0,582048.0,40.28,750000.0
Purulia,804.74,20168.0,139925.0,57.62,35000.0
South 24 Parganas,996.0,54383.0,239988.0,31.99,170000.0
Uttar Dinajpur,894.1,11077.0,158979.0,20.14,55000.0
